ticker,CMOT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-04-20,-99.0196
2007-04-30,9900.0
2007-06-22,0.0
2007-11-05,102.0
2007-11-07,0.0
2008-07-14,48.5149
2010-04-21,-78.7419
2010-07-02,-54.4554
2010-07-29,660.8424
2010-10-11,-14.2827
2011-07-08,-50.0
2011-07-11,0.0
2011-07-12,0.0
2011-07-15,13.3333
2011-07-18,0.5882
2011-07-19,-12.2807
2011-07-20,0.0
2011-07-21,0.0
2011-07-25,0.0
2011-07-28,-3.3333
2011-08-01,-3.4483
2011-08-16,-10.7143
2011-08-17,-8.0
2011-08-31,-8.6957
2011-09-14,-9.5238
2011-09-21,-21.0526
2011-10-19,0.0
2011-10-27,-6.6667
2011-10-31,-21.4286
2011-11-08,-27.2727
2011-11-10,-37.5
2011-11-14,-20.0
2011-12-05,25.0
2011-12-07,-20.0
2011-12-08,-10.0
2012-01-04,66.6667
2012-01-18,70.0
2012-01-24,-41.1765
2012-01-27,3.3333
2012-02-03,0.0
2012-03-09,12.9032
2012-05-03,11.4286
2012-05-04,2.5641
2012-05-17,-50.0
2012-07-13,5.0
2012-10-04,90.4762
2012-11-19,-2.5
2012-11-29,2.5641
2013-01-14,0.0
2013-01-25,-12.5
2013-02-01,14.2857
2013-02-04,0.0
2013-02-05,-25.0
2013-02-06,0.0
2013-02-07,0.0
2013-05-01,0.0
2013-05-06,0.0
2013-07-19,206.6667
2013-07-22,1.087
2013-08-06,-66.6667
2013-09-16,-35.4839
2013-09-17,40.0
2013-11-12,-10.7143
2013-12-27,8.0
2014-01-02,0.0
2014-03-12,74.0741
2014-03-24,-29.7872
2014-04-17,33.2955
2014-05-02,-4.5183
2014-06-16,-2.3810000000000002
2014-06-20,29.3902
2014-06-24,22.5259
2014-07-08,-3.0769
2014-07-09,3.1746
2014-07-28,0.0
2014-08-05,0.0
2014-09-04,-3.8462
2014-09-05,4.0
2014-09-08,0.0
2014-09-12,-7.6923
2014-09-19,-8.3333
2014-12-09,-72.7273
2014-12-15,66.6667
2015-01-06,-36.0
2015-01-12,-31.25
2015-02-24,18.1818
2015-08-28,130.7692
2015-09-01,0.0
2015-09-04,-16.6667
2015-10-23,20.0
2015-11-11,10.0
2015-11-16,-9.0909
2015-11-17,-50.0
2015-11-23,-46.6667
2015-11-24,25.0
2015-11-25,80.0
2015-12-03,-17.1181
2015-12-18,0.5446
2016-03-08,-40.0
2016-03-10,0.0
2016-03-22,33.3333
2016-03-24,25.0
2016-04-01,0.0
