ticker,FGFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-10-21,0.0
2020-01-15,1.4634
2020-01-23,0.0
2020-02-10,1.9231
2020-02-11,0.0
2020-02-12,8.4906
2020-02-14,0.8696
2020-02-20,0.431
2020-02-21,15.8798
2020-02-24,-7.4074
2020-02-25,-6.8
2020-02-26,0.0
2020-02-27,14.9356
2020-03-02,-16.7289
2020-03-03,3.1390000000000002
2020-03-12,-4.3478
2020-03-13,-0.4545
2020-03-18,-4.1096
2020-03-31,0.0
2020-04-02,0.0
2020-04-27,-1.9048
2020-04-28,6.7961
2020-05-13,0.0
2020-05-15,0.0
2020-05-21,-3.1818
2020-05-28,-1.4085
2020-06-03,1.4285999999999999
2020-06-04,4.6948
2020-06-05,0.0
2020-06-08,0.5381
2020-06-11,-3.6574
2020-06-16,1.8519
2020-06-23,0.0
2020-06-24,3.6364
2020-07-21,-1.3158
