ticker,CREX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-27,16.75
2006-11-28,-1.9272
2006-11-29,56.7686
2006-11-30,-17.5487
2006-12-01,-3.0405
2006-12-04,5.2265
2006-12-05,-1.1589
2006-12-06,3.5176
2006-12-07,2.1036
2006-12-08,1.5848
2006-12-11,-2.4961
2006-12-12,-4.32
2006-12-13,-5.5184
2006-12-14,-5.1327
2006-12-15,-3.7313
2006-12-18,-2.907
2006-12-19,1.996
2006-12-20,9.3933
2006-12-21,4.8301
2006-12-22,-5.4608
2006-12-26,-4.5126
2006-12-27,6.8053
2006-12-28,1.4159
2006-12-29,0.5236
2007-01-03,5.9028
2007-01-04,2.623
2007-01-05,4.6326
2007-01-08,0.0
2007-01-09,6.8702
2007-01-10,0.0
2007-01-11,-1.0
2007-01-12,1.7316
2007-01-16,11.6312
2007-01-17,-9.784
2007-01-18,-5.7745999999999995
2007-01-19,-0.7474
2007-01-22,-3.3151
2007-01-23,0.625
2007-01-24,-1.7027999999999999
2007-01-25,-1.5748
2007-01-26,-4.0
2007-01-29,-0.5
2007-01-30,-0.1675
2007-01-31,-1.5101
2007-02-01,1.7036
2007-02-02,-6.3652
2007-02-05,3.0411
2007-02-06,4.5139
2007-02-07,1.3289
2007-02-08,-0.4918
2007-02-09,4.4481
2007-02-12,3.7855
2007-02-13,0.4559
2007-02-14,2.118
2007-02-15,-5.9259
2007-02-16,0.6299
2007-02-20,7.0423
2007-02-21,1.0234
2007-02-22,2.1708
2007-02-23,-0.7082
2007-02-26,-1.8545
2007-02-27,-6.25
2007-02-28,0.0
2007-03-01,-2.3256
2007-03-02,3.8095
2007-03-05,0.9193
2007-03-06,2.2708
2007-03-07,-1.1852
2007-03-08,2.5506
2007-03-09,1.0215
2007-03-12,7.3806
2007-03-13,-2.1563
2007-03-14,0.1377
2007-03-15,-0.4127
2007-03-16,-0.1381
2007-03-19,-4.426
2007-03-20,1.013
2007-03-21,2.149
2007-03-22,-1.1219999999999999
2007-03-23,0.0
2007-03-26,13.0496
2007-03-27,-1.3801999999999999
2007-03-28,0.5089
2007-03-29,8.9858
2007-03-30,3.2535
2007-04-02,4.8369
2007-04-03,-4.3991
2007-04-04,0.8979
2007-04-05,-2.8921
2007-04-09,-2.7491
2007-04-10,-0.5889
2007-04-11,2.0142
2007-04-12,7.7816
2007-04-13,1.0776
2007-04-16,2.2388
2007-04-17,-1.147
2007-04-18,5.4852
2007-04-19,-0.1
2007-04-20,1.3013
2007-04-23,-0.3953
