ticker,CNND US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-11-07,11.7647
2003-11-28,2.924
2004-02-27,6.25
2004-05-03,6.9519
2004-05-04,0.0
2004-07-23,90.0
2004-11-03,-20.2632
2004-12-30,2.3102
2005-02-02,16.4516
2005-05-27,-23.8227
2005-06-14,21.8182
2005-09-26,-2.9851
2005-09-27,0.0
2005-10-03,0.0
2005-10-04,0.0
2005-11-28,-11.6923
2005-12-20,4.5296
2006-01-03,1.6667
2006-01-25,0.0
2006-02-24,1.0937999999999999
2006-03-02,4.918
2006-03-06,10.9375
2006-03-07,0.0
2006-04-04,-3.9436999999999998
2006-04-05,4.1056
2006-05-18,0.0
2006-06-26,-1.4085
2006-09-06,-1.8192
2006-09-13,-1.4706000000000001
2006-09-18,1.194
2006-10-31,-2.6549
2006-11-28,-2.4242
2006-12-06,0.3106
2007-01-22,1.849
2007-01-23,-3.0769
2007-01-29,6.0317
2007-02-12,0.8982
2007-03-19,2.3739
2007-06-21,-8.6957
2007-07-18,1.3016
2007-10-09,1.5873
2007-11-26,9.375
2008-02-04,15.6905
2008-03-06,-12.5
2008-03-20,-11.4286
2008-04-01,-1.6129
2008-04-25,-5.5738
2008-04-28,0.0
2008-04-29,4.1667
2008-05-05,-2.6667
2008-05-08,1.0274
2008-05-15,-1.6949
2008-06-04,-0.6897
2008-06-23,9.375
2008-06-24,-14.2857
2008-07-15,-14.8148
2008-07-17,26.5261
2008-07-22,-15.9649
2008-07-29,12.7349
2008-08-08,0.0
2008-08-12,3.7037
2008-08-26,0.7143
2008-09-15,9.9255
2008-09-29,-16.4489
2008-10-09,-7.3359
2008-10-16,4.1667
2008-10-24,-9.6
2008-11-18,1.7699
2008-11-26,0.0
2008-11-28,-4.3478
2008-12-05,0.0
2008-12-08,4.5455
2008-12-16,-10.0
2009-02-17,0.4205
2009-02-23,5.9113
2009-03-16,2.3256
2009-04-09,4.5455
2009-04-16,-3.4783
2009-04-21,23.8739
2009-04-23,-9.0909
2009-04-28,0.4
2009-04-29,9.5618
2009-04-30,-1.8182
2009-05-11,7.4074
2009-05-12,0.0
2009-05-21,-10.3448
2009-05-29,1.5385
2009-06-16,13.6364
2009-06-23,-8.3333
2009-08-11,2.2412
2009-08-28,1.087
2009-10-12,7.5269
2009-10-13,-6.6667
2009-10-29,7.1429
2009-11-06,4.0
2009-12-01,7.3718
2009-12-04,-1.4925
2010-01-07,-1.5152
2010-02-02,-12.459
2010-03-03,16.0714
2010-03-12,-1.5385
