ticker,SYF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-31,0.0
2014-08-01,0.0
2014-08-04,0.0
2014-08-05,0.0
2014-08-06,-0.087
2014-08-07,-0.2176
2014-08-08,0.0872
2014-08-11,-0.0871
2014-08-12,0.3053
2014-08-13,0.7826
2014-08-14,-0.7334
2014-08-15,-0.0435
2014-08-18,0.7391
2014-08-19,5.3517
2014-08-20,3.1954
2014-08-21,0.794
2014-08-22,-0.1182
2014-08-25,-0.9464
2014-08-26,-0.2787
2014-08-27,1.6766
2014-08-28,0.8638
2014-08-29,0.3893
2014-09-02,0.0
2014-09-03,0.0
2014-09-04,-0.349
2014-09-05,0.2724
2014-09-08,-3.6088
2014-09-09,0.8052
2014-09-10,-1.3578000000000001
2014-09-11,-0.2024
2014-09-12,-0.6085
2014-09-15,-1.4285999999999999
2014-09-16,0.6625
2014-09-17,0.9872
2014-09-18,0.4888
2014-09-19,2.9996
2014-09-22,-2.2432
2014-09-23,-1.0467
2014-09-24,1.3832
2014-09-25,-1.1637
2014-09-26,0.5684
2014-09-29,-0.2826
2014-09-30,-0.6073
2014-10-01,-1.3442
2014-10-02,1.4864
2014-10-03,1.0171
2014-10-06,0.6847
2014-10-07,-0.6
2014-10-08,0.6841
2014-10-09,-1.8784999999999998
2014-10-10,-1.4257
2014-10-13,1.0744
2014-10-14,1.5944
2014-10-15,-1.328
2014-10-16,0.3263
2014-10-17,0.7317
2014-10-20,-0.2825
2014-10-21,1.8616000000000001
2014-10-22,0.8343
2014-10-23,1.6942
2014-10-24,1.1623
2014-10-27,1.6086
2014-10-28,1.2062
2014-10-29,0.5587
2014-10-30,-0.7778
2014-10-31,0.8585
2014-11-03,1.1843
2014-11-04,-1.207
2014-11-05,1.7031
2014-11-06,0.4004
2014-11-07,2.0667
2014-11-10,2.2025
2014-11-11,1.1818
2014-11-12,-0.2748
2014-11-13,-0.1378
2014-11-14,0.207
2014-11-17,0.2754
2014-11-18,-0.6179
2014-11-19,-0.0345
2014-11-20,1.0366
2014-11-21,-0.2394
2014-11-24,-0.6856
2014-11-25,-1.0701
2014-11-26,0.4885
2014-11-28,0.7292
2014-12-01,-0.4481
2014-12-02,0.5886
2014-12-03,-0.1721
2014-12-04,0.5172
2014-12-05,0.3431
2014-12-08,0.8889
2014-12-09,0.0339
2014-12-10,0.4404
2014-12-11,-0.4384
2014-12-12,-1.7614999999999998
2014-12-15,-1.2759
2014-12-16,-0.6636
2014-12-17,1.6174
2014-12-18,2.9412000000000003
