ticker,CCAN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-25,12410.0
2014-07-28,59.8721
2014-07-31,50.0
2014-08-08,-50.0
2014-08-21,16.6667
2014-08-27,25.7143
2014-09-19,0.0
2014-09-22,0.0
2014-10-06,298.8636
2014-10-07,8.8889
2014-10-08,27.551
2014-10-09,44.96
2014-10-10,-22.7373
2014-10-13,-7.1429
2014-10-14,-7.6923
2014-10-15,4.1667
2014-10-16,-2.4
2014-10-17,47.377
2014-10-20,11.2347
2014-10-21,-44.4
2014-10-22,1.6187
2014-10-23,-20.354
2014-10-24,11.1111
2014-10-27,1.0
2014-10-28,-5.9406
2014-10-29,5.2632
2014-10-30,0.0
2014-10-31,0.0
2014-11-03,-1.0
2014-11-04,-0.404
2014-11-05,-8.3164
2014-11-06,-0.4425
2014-11-10,0.0
2014-11-12,3.3333
2014-11-13,5.3763
2014-11-14,-3.0612
2014-11-17,-2.1053
2014-11-18,2.1505
2014-11-19,-3.1579
2014-11-21,4.3478
2014-11-26,-1.0417
2014-12-01,0.0
2014-12-11,1.0526
2014-12-12,0.0
2014-12-15,0.0
2014-12-17,-2.0833
2014-12-29,2.1277
2015-01-07,4.1667
2015-01-08,0.0
2015-01-09,0.0
2015-01-12,0.0
2015-01-13,-3.0
2015-01-14,-7.2165
2015-01-15,11.1111
2015-01-20,-20.0
2015-01-21,-2.5
2015-01-22,2.5641
2015-01-26,12.5
2015-01-27,-13.3333
2015-01-28,12.8205
2015-01-30,2.2727
2015-02-04,0.0
2015-02-06,-5.5556
2015-02-09,5.8824
2015-02-10,2.2222
2015-02-11,1.9565000000000001
2015-02-12,-4.0512
2015-02-17,-0.2222
2015-02-18,-3.5635
2015-02-24,-0.9238
2015-02-25,0.0
2015-02-26,-0.1049
2015-02-27,-4.3285
2015-03-03,0.0
2015-03-04,2.439
2015-03-05,-2.3810000000000002
2015-03-06,7.0732
2015-03-09,-9.3394
2015-03-10,0.2513
2015-03-12,5.2632
2015-03-13,-9.2857
2015-03-16,4.7244
2015-03-18,-23.3083
2015-03-19,0.0
2015-03-20,7.8431
2015-03-23,-0.303
2015-03-24,-0.304
2015-03-25,9.7561
2015-03-26,11.1111
2015-03-30,3.75
2015-03-31,-4.8193
2015-04-01,0.7595
2015-04-02,-0.2513
2015-04-06,-0.5038
2015-04-07,-12.405100000000001
2015-04-08,12.7168
2015-04-09,3.5897
2015-04-10,-1.2376
2015-04-14,-1.0025
2015-04-21,-0.2532
2015-04-29,-9.8985
