ticker,EWLL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-04-04,0.0
2016-04-20,33.3333
2016-04-21,0.0
2016-04-22,0.0
2016-04-26,-6.25
2016-04-29,0.0
2016-05-02,0.0
2016-05-09,-1.3333
2016-05-11,0.0
2016-05-23,0.2703
2016-05-24,0.0
2016-05-26,-19.1375
2016-06-03,-16.6667
2016-06-09,-20.0
2016-06-24,-12.5
2016-07-07,-62.8571
2016-07-08,0.0
2016-07-11,-7.6923
2016-07-12,-13.1667
2016-07-13,38.1958
2016-07-14,11.1111
2016-07-15,0.0
2016-07-18,-25.0
2016-07-19,8.3333
2016-07-20,-7.6923
2016-07-21,20.0
2016-07-22,-2.7778
2016-07-25,-14.2857
2016-07-26,-10.0
2016-07-28,-9.2593
2016-08-04,-28.5714
2016-08-08,-54.2857
2016-08-09,25.0
2016-08-10,50.0
2016-08-12,11.6667
2016-08-15,-40.2985
2016-08-18,0.0
2016-08-19,0.0
2016-08-22,25.0
2016-08-23,-20.0
2016-08-24,0.0
2016-08-25,-15.0
2016-08-29,-41.1765
2016-08-30,-30.0
2016-08-31,37.1429
2016-09-02,14.5833
2016-09-06,-63.6364
2016-09-07,100.0
2016-09-08,-37.5
2016-09-09,-3.0
2016-09-12,64.9485
2016-09-13,-31.25
2016-09-14,-15.568200000000001
2016-09-15,0.0
2016-09-16,18.4388
2016-09-19,-2.0455
2016-09-20,-7.1926
2016-09-23,10.0
2016-09-26,-29.0909
2016-09-27,-23.0769
2016-09-28,0.0
2016-09-29,16.6667
2016-09-30,-25.7143
2016-10-03,53.8462
2016-10-04,25.0
2016-10-05,0.0
2016-10-06,-20.0
2016-10-07,-37.5
2016-10-10,-40.0
2016-10-11,0.0
2016-10-12,93.3333
2016-10-13,-48.2759
2016-10-14,-26.6667
2016-10-17,26.1364
2016-10-18,2.2523
2016-10-19,-8.37
2016-10-20,-41.3462
2016-10-21,-8.1967
2016-10-24,0.0
2016-10-25,73.2143
2016-10-26,-32.9897
2016-10-27,23.0769
2016-10-28,-10.0
2016-10-31,-5.5556
2016-11-01,11.7647
2016-11-02,6.5789
2016-11-03,-8.0247
2016-11-04,37.5839
2016-11-07,-10.2439
2016-11-08,1.087
2016-11-09,-3.7634
2016-11-10,-19.5531
2016-11-11,33.3333
2016-11-14,22.9167
2016-11-15,-4.2373
2016-11-16,-7.9646
2016-11-17,-0.9615
2016-11-18,10.1942
2016-11-21,-7.489
2016-11-22,120.0
2016-11-23,0.4329
2016-11-25,3.0172
