ticker,AMCY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-9.1168
2000-01-05,2.8213
2000-01-06,0.0
2000-01-07,0.0
2000-01-10,0.0
2000-01-14,-17.0732
2000-01-18,17.647100000000002
2000-01-19,0.0
2000-01-20,0.0
2000-01-21,0.0
2000-01-24,0.0
2000-01-25,0.0
2000-01-26,-0.625
2000-01-28,-0.6289
2000-01-31,-8.8608
2000-02-01,10.4167
2000-02-02,-0.6289
2000-02-03,0.6329
2000-02-07,0.0
2000-02-08,-43.3962
2000-02-09,75.5556
2000-02-10,0.6329
2000-02-11,-43.3962
2000-02-14,60.0
2000-02-16,0.0
2000-02-17,-22.2222
2000-02-18,28.5714
2000-02-22,-11.1111
2000-02-23,0.0
2000-02-24,23.4375
2000-02-25,0.6329
2000-02-28,-37.1069
2000-02-29,59.0
2000-03-02,0.0
2000-03-03,-29.5597
2000-03-06,14.2857
2000-03-07,24.2188
2000-03-08,-37.1069
2000-03-09,59.0
2000-03-10,0.0
2000-03-13,-39.6226
2000-03-14,0.0
2000-03-15,65.625
2000-03-17,0.0
2000-03-21,-20.1258
2000-03-22,25.1969
2000-03-23,0.0
2000-03-24,-43.3962
2000-03-27,6.6667
2000-03-28,0.0
2000-03-29,-11.0
2000-03-30,12.3596
2000-03-31,-16.6667
2000-04-03,80.0
2000-04-05,0.0
2000-04-06,-37.5
2000-04-07,60.0
2000-04-11,-33.3333
2000-04-12,0.0
2000-04-14,-20.8333
2000-04-18,26.3158
2000-04-19,-33.3333
2000-04-20,25.0
2000-04-25,40.0
2000-04-26,28.5714
2000-04-27,-11.1111
2000-04-28,0.0
2000-05-01,3.9063
2000-05-03,-39.8496
2000-05-05,0.0
2000-05-08,-20.0
2000-05-15,0.0
2000-06-01,-3.9062
2000-06-02,-2.439
2000-06-05,6.6667
2000-06-08,-66.25
2000-06-09,85.1852
2000-06-12,-20.0
2000-06-13,25.0
2000-06-16,-50.0
2000-06-19,0.0
2000-06-21,0.0
2000-06-22,4.0
2000-06-30,-7.6923
2000-07-03,12.5
2000-07-05,0.0
2000-07-10,-25.1852
2000-07-17,-39.604
2000-07-18,9.8361
2000-07-20,-10.4478
2000-07-26,0.0
2000-08-02,-58.3333
2000-09-08,0.0
2000-09-13,21.2
2000-10-03,-0.9901
2000-10-04,126.6667
2000-10-05,10.2941
2000-10-16,-6.6667
2000-10-24,52.8571
2000-10-30,86.9159
2000-10-31,71.5
2000-11-01,-12.5364
2000-11-02,58.3333
