ticker,GDVM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-28,16.6667
2000-03-30,14.2857
2000-04-07,-50.0
2000-04-28,50.0
2000-05-08,0.0
2000-05-11,0.0
2000-05-17,16.6667
2000-05-18,50.0
2000-06-08,-61.9048
2000-06-16,50.0
2000-09-07,-66.6667
2000-09-12,-70.0
2000-09-21,0.0
2000-10-03,-16.6667
2000-11-07,-40.0
2000-12-29,-60.0
2001-02-14,-16.6667
2001-02-16,500.0
2001-02-20,-50.0
2001-04-26,0.0
2001-08-14,-33.3333
2001-09-17,0.0
2001-09-28,0.0
2001-12-31,0.0
2002-03-20,0.0
2002-09-09,-50.0
2002-09-10,0.0
2002-09-11,0.0
2002-09-12,-20.0
2002-09-13,0.0
2002-09-16,-25.0
2002-10-10,-33.3333
2002-12-30,0.0
2002-12-31,-50.0
2003-04-09,100.0
2003-06-27,0.0
2003-07-11,0.0
2003-10-06,0.0
2003-10-14,0.0
2003-11-13,0.0
2003-12-18,0.0
2004-02-03,0.0
2004-04-20,-50.0
2004-06-03,400.0
2004-06-07,-80.0
2004-08-19,400.0
2004-10-14,-80.0
2004-11-05,0.0
2005-02-25,0.0
2005-03-28,0.0
2005-04-11,200.0
2005-06-16,133.3333
2005-06-20,100.0
2005-06-21,-28.5714
2005-06-27,-10.0
2005-06-30,0.0
2005-07-01,0.0
2005-07-05,0.0
2005-08-08,0.0
2005-09-02,0.0
2005-10-06,-66.6667
2005-10-27,66.6667
2005-11-02,80.0
2005-11-03,11.2222
2005-11-07,-30.0699
2005-11-15,0.0
2005-11-23,14.2857
2005-12-01,25.125
2006-01-26,-30.0699
2006-04-07,43.0
2006-06-08,-89.7103
2006-07-19,-1.9417
2006-08-08,23.7624
2006-08-14,0.0
2006-09-26,-16.0
2006-10-12,-23.8095
2006-10-16,56.25
2006-10-23,-32.0
2006-10-24,47.0588
2006-10-30,-10.4
2006-11-02,-9.8214
2006-11-03,23.7624
2006-11-06,0.0
2006-11-08,-4.0
2006-11-13,0.8333
2006-11-16,-0.8264
2006-11-17,0.8333
2006-11-21,0.0
2006-11-30,6.6116
2006-12-04,-2.3256
2006-12-05,6.3492
2006-12-06,-0.7463
2006-12-07,0.0
2006-12-11,0.0
2006-12-12,-0.7519
2006-12-13,0.8333
2006-12-14,2.1788
2006-12-15,0.0
2006-12-19,1.4706000000000001
2006-12-22,-0.7246
2006-12-28,-0.7299
2006-12-29,-2.9412000000000003
2007-01-03,-31.8182
2007-01-04,11.1111
