ticker,SKTO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-05-15,0.0
2008-05-16,0.0
2008-05-27,-20.0
2008-12-11,-18.75
2009-09-16,-83.0769
2009-09-17,0.0
2009-09-25,-7.2727
2009-09-28,0.0
2009-10-08,0.0
2009-10-14,7.8431
2009-10-16,9.0909
2009-10-19,15.0
2009-10-20,15.942
2009-10-21,8.75
2009-10-22,6.3218
2009-10-23,3.2432
2009-10-26,-4.1885
2009-10-27,-34.4262
2009-10-28,15.0
2009-10-29,-1.4493
2009-10-30,-24.136
2009-11-02,-30.2157
2009-11-03,-8.3333
2009-11-04,0.0
2009-11-05,-3.0303
2009-11-06,-3.4375
2009-11-09,-22.3301
2009-11-10,-8.3333
2009-11-11,-18.1818
2009-11-12,11.1111
2009-11-13,35.0
2009-11-16,12.963
2009-11-17,-18.0328
2009-11-18,4.0
2009-11-19,7.6923
2009-11-20,7.1429
2009-11-23,-13.3333
2009-11-24,-3.8462
2009-11-25,0.0
2009-11-27,0.0
2009-11-30,-12.0
2009-12-01,-9.0909
2009-12-02,-50.0
2009-12-03,20.0
2009-12-04,4.1667
2009-12-07,3.9
2009-12-08,23.1954
2009-12-09,-32.5
2009-12-10,-14.8148
2009-12-11,8.6957
2009-12-14,-10.0
2009-12-15,11.1111
2009-12-16,-5.0
2009-12-17,5.2632
2009-12-18,-13.0
2009-12-21,20.6897
2009-12-22,-4.7619
2009-12-23,0.0
2009-12-24,-20.0
2009-12-28,6.25
2009-12-29,-5.8824
2009-12-30,-5.0
2009-12-31,5.2632
2010-01-04,0.0
2010-01-05,-6.25
2010-01-06,-5.3333
2010-01-07,12.6761
2010-01-08,12.5
2010-01-11,-16.6667
2010-01-12,-2.0
2010-01-13,-3.4013999999999998
2010-01-14,-2.8169
2010-01-15,-15.2174
2010-01-19,-7.906
2010-01-20,-16.4733
2010-01-21,-6.6667
2010-01-22,3.5714
2010-01-25,1.4368
2010-01-26,1.983
2010-01-27,-22.2222
2010-01-28,2.8571
2010-01-29,-13.8889
2010-02-01,-19.3548
2010-02-02,60.0
2010-02-03,12.5
2010-02-04,0.0
2010-02-05,22.2222
2010-02-08,-18.1818
2010-02-09,11.1111
2010-02-10,-10.0
2010-02-11,11.1111
2010-02-12,-10.0
2010-02-16,16.6667
2010-02-17,-0.9524
2010-02-18,-3.8462
2010-02-19,-2.0
2010-02-22,0.0
2010-02-23,0.0
2010-02-24,0.0
2010-02-25,-8.1633
2010-02-26,11.1111
2010-03-01,0.0
