ticker,ZICX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-06,0.0
2007-11-07,-40.0
2007-11-08,-16.6667
2007-11-14,-30.0
2007-11-26,-42.8571
2007-11-27,-50.0
2007-12-03,0.0
2007-12-17,20.0
2007-12-18,0.0
2007-12-19,16.6667
2007-12-20,-28.5714
2007-12-27,0.0
2007-12-31,100.0
2008-01-02,-25.0
2008-01-03,0.0
2008-01-04,-33.3333
2008-01-08,0.0
2008-01-09,150.0
2008-01-10,-12.0
2008-01-11,-18.1818
2008-01-14,-16.6667
2008-01-15,13.3333
2008-01-16,-11.7647
2008-01-17,33.3333
2008-01-18,-10.0
2008-01-22,-22.2222
2008-01-23,7.1429
2008-01-24,93.3333
2008-01-25,3.4483
2008-01-28,-20.0
2008-01-29,-8.3333
2008-01-30,-40.9091
2008-01-31,-30.7692
2008-02-01,0.0
2008-02-04,-11.1111
2008-02-05,0.0
2008-02-06,0.0
2008-02-07,-10.9375
2008-02-08,-1.7544
2008-02-11,0.0
2008-02-12,-11.607099999999999
2008-02-13,45.4545
2008-02-14,5.5556
2008-02-15,-15.7895
2008-02-19,-6.25
2008-02-20,-6.6667
2008-02-21,28.5714
2008-02-22,-5.5556
2008-02-25,-13.9706
2008-02-26,9.4017
2008-02-27,0.0
2008-02-28,0.0
2008-02-29,25.0
2008-03-03,20.0
2008-03-04,-25.0
2008-03-05,-11.1111
2008-03-06,-12.5
2008-03-07,0.0
2008-03-10,0.0
2008-03-11,0.0
2008-03-12,-14.2857
2008-03-13,-22.9167
2008-03-14,-13.5135
2008-03-17,-25.0
2008-03-18,33.3333
2008-03-19,-12.5
2008-03-20,14.2857
2008-03-24,-12.5
2008-03-25,-14.2857
2008-03-26,33.3333
2008-03-27,50.0
2008-03-28,0.0
2008-03-31,0.0
2008-04-01,25.0
2008-04-02,4.1667
2008-04-03,2.4
2008-04-04,50.0
2008-04-07,15.625
2008-04-08,8.1081
2008-04-09,-13.3333
2008-04-10,-11.538499999999999
2008-04-11,13.0435
2008-04-14,46.1538
2008-04-15,-0.6579
2008-04-16,-31.1258
2008-04-17,-7.6923
2008-04-18,-16.6667
2008-04-21,20.0
2008-04-22,41.6667
2008-04-23,-6.6176
2008-04-24,-11.811
2008-04-25,14.2857
2008-04-28,-12.5
2008-04-29,-14.2857
2008-04-30,16.6667
2008-05-01,-14.2857
2008-05-02,0.0
2008-05-05,8.3333
2008-05-06,-23.0769
2008-05-07,-10.0
2008-05-08,0.0
2008-05-09,11.1111
