ticker,RRGB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-07-19,1.8333
2002-07-22,5.5646
2002-07-23,1.5426
2002-07-24,-1.5192
2002-07-25,-1.0078
2002-07-26,-6.0298
2002-07-29,0.1667
2002-07-30,0.3328
2002-07-31,-0.4975
2002-08-01,-0.8333
2002-08-02,0.2521
2002-08-05,-1.9279
2002-08-06,2.6496
2002-08-07,-0.1665
2002-08-08,0.5004
2002-08-09,-0.4232
2002-08-12,-0.1667
2002-08-13,0.167
2002-08-14,-0.1
2002-08-15,0.1085
2002-08-16,0.325
2002-08-19,-0.8223
2002-08-20,1.0888
2002-08-21,0.6628
2002-08-22,2.8807
2002-08-23,-3.368
2002-08-26,-1.4819
2002-08-27,2.521
2002-08-28,1.3934
2002-08-29,1.3743
2002-08-30,1.6745999999999999
2002-09-03,3.5216
2002-09-04,-1.1289
2002-09-05,-5.364
2002-09-06,0.3158
2002-09-09,3.3094
2002-09-10,-2.3439
2002-09-11,0.408
2002-09-12,-1.0359
2002-09-13,-0.2415
2002-09-16,-1.2993999999999999
2002-09-17,-1.1366
2002-09-18,-7.287
2002-09-19,-2.3106
2002-09-20,0.9132
2002-09-23,-4.4434000000000005
2002-09-24,4.9247
2002-09-25,0.1895
2002-09-26,-1.3514
2002-09-27,-3.653
2002-09-30,-2.0853
2002-10-01,-2.2265
2002-10-02,-0.6931
2002-10-03,-2.2931
2002-10-04,-0.4184
2002-10-07,1.537
2002-10-08,-0.1917
2002-10-09,-3.0334
2002-10-10,-1.9811999999999999
2002-10-11,2.3404
2002-10-14,-3.3264
2002-10-15,8.4946
2002-10-16,-2.3786
2002-10-17,0.1015
2002-10-18,-4.4625
2002-10-21,3.7155
2002-10-22,6.1411999999999995
2002-10-23,-0.2893
2002-10-24,11.2186
2002-10-25,0.9652
2002-10-28,-3.2039
2002-10-29,-0.3559
2002-10-30,-8.3847
2002-10-31,-9.6491
2002-11-01,5.178
2002-11-04,8.7179
2002-11-05,0.0943
2002-11-06,0.5561
2002-11-07,7.7889
2002-11-08,6.087
2002-11-11,0.4098
2002-11-12,2.3673
2002-11-13,-1.5152
2002-11-14,2.1862
2002-11-15,-1.9809999999999999
2002-11-18,5.093
2002-11-19,2.9231
2002-11-20,-3.7443999999999997
2002-11-21,-0.4581
2002-11-22,-0.156
2002-11-25,0.6172
2002-11-26,-0.2252
2002-11-27,0.3113
2002-11-29,1.0085
2002-12-02,8.2873
2002-12-03,-1.4895
2002-12-04,2.2392
2002-12-05,-0.7746
