ticker,CTRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-09,36.2963
2016-09-20,42.6087
2016-09-21,1.3719999999999999
2016-09-22,15.4887
2016-09-23,0.651
2016-09-26,2.458
2016-09-28,0.5051
2016-09-29,4.2714
2016-09-30,0.6024
2016-10-03,0.5988
2016-10-04,0.7143
2016-10-05,22.104
2016-10-06,4.0658
2016-10-07,11.6279
2016-10-10,0.0
2016-10-11,1.5
2016-10-12,0.1642
2016-10-13,-1.6393
2016-10-14,-0.3333
2016-10-17,0.3344
2016-10-18,-0.0167
2016-10-19,-0.0667
2016-10-20,1.3344
2016-10-21,15.6379
2016-10-24,2.4911
2016-10-25,0.6944
2016-10-26,-2.069
2016-10-27,-4.2254
2016-10-28,1.4706000000000001
2016-10-31,-3.9855
2016-11-01,4.1509
2016-11-02,-4.3478
2016-11-03,-2.2727
2016-11-04,-0.6202
2016-11-07,4.5242
2016-11-08,-0.7463
2016-11-09,14.1353
2016-11-10,0.7905
2016-11-11,-0.6536
2016-11-14,1.3158
2016-11-15,-1.2987
2016-11-16,-0.9868
2016-11-17,-9.6346
2016-11-18,2.2059
2016-11-21,-0.7194
2016-11-22,-1.4493
2016-11-23,-1.4706000000000001
2016-11-25,-1.4925
2016-11-28,6.4394
2016-11-29,-2.4199
2016-11-30,0.6565
2016-12-01,0.0
2016-12-02,-0.3623
2016-12-05,1.8182
2016-12-06,0.4286
2016-12-07,1.6358000000000001
2016-12-08,0.3499
2016-12-09,0.1395
2016-12-12,0.6267
2016-12-13,0.2768
2016-12-14,-0.9662
2016-12-15,-2.0906
2016-12-16,9.6085
2016-12-19,-6.1039
2016-12-20,-0.4149
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,1.1111
2016-12-27,-0.2747
2016-12-28,-0.8264
2016-12-29,-1.3889
2016-12-30,0.0
2017-01-03,0.0
2017-01-04,-1.4085
2017-01-05,-1.4285999999999999
2017-01-06,-4.3478
2017-01-09,-3.7879
2017-01-10,-2.2047
2017-01-11,0.4831
2017-01-12,0.9615
2017-01-13,3.1746
2017-01-17,1.5385
2017-01-18,0.7576
2017-01-19,0.0
2017-01-20,-0.3759
2017-01-23,1.1320999999999999
2017-01-24,1.4925
2017-01-25,1.4706000000000001
2017-01-26,0.7246
2017-01-27,0.2158
2017-01-30,-0.9332
2017-01-31,-2.5362
2017-02-01,0.5204
2017-02-02,-4.9556000000000004
2017-02-03,2.3346
2017-02-06,3.4221
2017-02-07,-1.8382
2017-02-08,-1.8727
