ticker,DBIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-06-29,8.6093
2000-07-28,4.878
2000-09-15,-2.3256
2000-10-16,4.7619
2002-04-25,29.5455
2003-02-18,24.5789
2005-01-12,99.825
2005-08-08,3.5622
2005-08-15,6.383
2005-08-19,-1.0
2005-08-22,1.0101
2005-08-26,-1.3333
2005-08-29,2.027
2005-09-21,0.6667
2005-12-09,2.053
2006-03-24,3.8876
2006-04-05,-1.2579
2006-04-07,1.9108
2006-04-10,9.375
2007-06-06,-13.823
2007-06-07,-8.0537
2007-06-08,9.4891
2007-06-21,6.6667
2007-06-22,-0.625
2007-07-20,-2.5157
2007-08-03,-0.6452
2007-08-06,3.8961
2007-09-20,-2.7384
2007-09-24,0.0
2007-10-24,3.5599
2007-12-04,-2.5
2007-12-14,-3.8462
2008-01-03,4.0
2008-01-29,-3.2051
2008-02-27,2.8146
2008-02-29,-0.161
2008-03-07,-5.1332
2008-03-10,-4.7945
2008-03-19,11.5108
2008-10-08,-5.7217
2008-10-14,2.8759
2008-10-29,-1.4546999999999999
2009-06-08,-0.6169
2009-06-18,0.0
2009-06-19,0.0
2009-06-25,0.0
2009-06-30,0.0
2009-07-16,-2.069
2009-07-31,6.6901
2009-08-03,-0.9901
2009-11-24,-8.663499999999999
2009-12-04,2.9412000000000003
2010-01-06,0.0
2010-03-05,0.7194
2010-03-15,0.0
2010-09-27,28.0576
2010-10-14,0.0
2010-12-22,-8.9888
2011-02-04,-4.321
2011-02-08,0.0
2011-02-25,-1.7742
2011-07-29,0.0
2011-08-01,-13.9073
2011-08-08,1.0
2011-11-22,8.5033
2011-11-28,-2.1277
2012-09-05,7.4074
2012-09-07,1.0
2012-09-11,-1.3247
2012-09-13,2.4151
2013-02-20,18.25
2013-02-22,0.0
2013-02-26,6.7368
2013-03-04,-8.9936
2013-05-24,18.1009
2013-07-17,-14.5729
2013-07-26,0.0
2013-08-13,7.6471
2013-08-16,-1.9125999999999999
2013-08-21,2.7855
2013-08-22,0.0
2013-09-06,7.8591
2013-10-28,-0.1521
2013-10-29,0.5076
2014-01-13,38.8889
2014-01-15,0.0
2014-01-16,-5.4545
2014-03-06,11.538499999999999
2014-03-24,0.5897
2014-04-02,0.0
2014-05-20,-0.0034
2014-05-28,-3.6174
2014-05-29,0.0
2014-05-30,-5.1878
2014-06-05,-1.8868
2014-06-13,11.538499999999999
2014-06-16,-4.4138
2014-07-01,-2.5974
2014-07-10,0.3704
2014-07-22,-2.214
