ticker,ATEX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-02-04,2.5
2015-02-05,2.439
2015-02-06,2.3810000000000002
2015-02-09,2.2558
2015-02-10,4.6168
2015-02-11,2.0652
2015-02-12,-6.481
2015-02-13,4.7664
2015-02-17,17.3913
2015-02-18,1.8519
2015-02-19,-4.2364
2015-02-20,4.4238
2015-02-23,-1.8182
2015-02-24,-0.3889
2015-02-25,-2.1379
2015-02-26,3.5334
2015-02-27,-0.9174
2015-03-02,-5.5741
2015-03-03,-1.412
2015-03-04,-0.5371
2015-03-05,-3.26
2015-03-06,3.3699
2015-03-09,0.0
2015-03-10,-6.14
2015-03-11,3.3241
2015-03-12,1.0518
2015-03-13,-4.0816
2015-03-16,-3.2553
2015-03-17,-1.0336
2015-03-18,-0.0222
2015-03-19,0.0222
2015-03-20,7.3111
2015-03-23,3.334
2015-03-24,0.2004
2015-03-25,-0.62
2015-03-26,-2.898
2015-03-27,0.1865
2015-03-30,3.4133
2015-03-31,0.02
2015-04-01,-0.02
2015-04-02,-0.9802
2015-04-06,0.9899
2015-04-07,0.02
2015-04-08,-0.02
2015-04-09,0.02
2015-04-10,0.0
2015-04-13,-2.38
2015-04-14,0.3688
2015-04-15,2.0412
2015-04-16,0.02
2015-04-17,-1.0
2015-04-20,0.6061
2015-04-21,0.9438
2015-04-22,-0.4177
2015-04-23,1.2385
2015-04-24,4.4988
2015-04-27,-5.1548
2015-04-28,-1.6324999999999998
2015-04-29,-0.425
2015-04-30,0.498
2015-05-01,-0.5764
2015-05-04,0.6916
2015-05-05,1.0101
2015-05-06,0.0
2015-05-07,-1.3
2015-05-08,-1.9453
2015-05-11,-9.3201
2015-05-12,-5.5378
2015-05-13,6.4174
2015-05-14,0.9068
2015-05-15,1.0559
2015-05-18,0.6225
2015-05-19,0.5303
2015-05-20,7.2088
2015-05-21,-0.574
2015-05-22,-1.8557000000000001
2015-05-26,0.0
2015-05-27,-1.6176
2015-05-28,0.1922
2015-05-29,0.8951
2015-06-01,0.4858
2015-06-02,-0.5886
2015-06-03,-0.4018
2015-06-04,0.0212
2015-06-05,0.8066
2015-06-08,-0.4001
2015-06-09,-1.9872999999999998
2015-06-10,-2.8689
2015-06-11,-2.0653
2015-06-12,0.3401
2015-06-15,0.3842
2015-06-16,-0.3827
2015-06-17,1.6271
2015-06-18,0.6004
2015-06-19,-3.0725
2015-06-22,-1.87
2015-06-23,-1.2317
2015-06-24,0.0471
2015-06-25,2.0931
2015-06-26,-1.3131
