ticker,GSBD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-03-18,0.25
2015-03-19,3.7406
2015-03-20,1.6827
2015-03-23,0.7565
2015-03-24,-2.5808999999999997
2015-03-25,0.6744
2015-03-26,0.7177
2015-03-27,0.2375
2015-03-30,-2.3245
2015-03-31,2.4294000000000002
2015-04-01,-1.5973000000000002
2015-04-02,0.8362
2015-04-06,0.2439
2015-04-07,0.0
2015-04-08,1.8491
2015-04-09,1.5289000000000001
2015-04-10,2.1647
2015-04-13,-0.5527
2015-04-14,1.2506
2015-04-15,-2.0128
2015-04-16,-0.0934
2015-04-17,0.1402
2015-04-20,-0.3733
2015-04-21,0.7026
2015-04-22,0.0
2015-04-23,-0.186
2015-04-24,0.1398
2015-04-27,0.3257
2015-04-28,-0.3247
2015-04-29,-2.6059
2015-04-30,-0.3822
2015-05-01,-0.3357
2015-05-04,0.7218
2015-05-05,1.5289000000000001
2015-05-06,-1.2235
2015-05-07,0.9052
2015-05-08,-0.5194
2015-05-11,1.7086000000000001
2015-05-12,-1.0733
2015-05-13,-1.4623
2015-05-14,2.6328
2015-05-15,0.9795
2015-05-18,-0.6467
2015-05-19,-0.7903
2015-05-20,0.2812
2015-05-21,0.514
2015-05-22,-0.093
2015-05-26,-0.3723
2015-05-27,-1.7282
2015-05-28,2.1863
2015-05-29,3.4419
2015-06-01,1.0791
2015-06-02,2.3132
2015-06-03,-0.9565
2015-06-04,-2.6778
2015-06-05,1.0825
2015-06-08,0.1339
2015-06-09,-1.2923
2015-06-10,0.0271
2015-06-11,-0.2979
2015-06-12,-0.0453
2015-06-15,1.9928
2015-06-16,-1.7318
2015-06-17,-2.169
2015-06-18,2.6328
2015-06-19,1.1701
2015-06-22,-2.3132
2015-06-23,1.867
2015-06-24,0.2682
2015-06-25,3.8342
2015-06-26,1.2022
2015-06-29,0.6055
2015-06-30,1.6766999999999999
2015-07-01,-1.8605
2015-07-02,-2.3697
2015-07-06,-0.3972
2015-07-07,4.3864
2015-07-08,-1.3158
2015-07-09,1.2043
2015-07-10,1.53
2015-07-13,1.8418
2015-07-14,-1.6852
2015-07-15,0.8779
2015-07-16,0.5387
2015-07-17,-0.8656
2015-07-20,1.6632
2015-07-21,-0.9407
2015-07-22,-1.1974
2015-07-23,0.0418
2015-07-24,-0.5848
2015-07-27,-3.2353
2015-07-28,-1.0421
2015-07-29,-0.1755
2015-07-30,2.5495
2015-07-31,0.943
2015-08-03,-1.8258999999999999
2015-08-04,1.1246
