ticker,IPRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-02-02,-36.0
2010-11-26,4.6875
2010-11-29,3.7313
2010-11-30,0.7194
2010-12-02,1.4285999999999999
2010-12-03,1.4085
2010-12-06,0.3733
2010-12-07,1.7037
2010-12-08,-0.3231
2010-12-09,0.0
2010-12-10,2.3716
2010-12-13,8.0
2010-12-14,2.4691
2010-12-15,-6.0241
2010-12-16,-1.2821
2010-12-17,-20.7792
2010-12-20,22.9508
2010-12-21,-1.3333
2010-12-22,0.0
2010-12-23,6.7568
2010-12-27,1.2658
2010-12-28,0.0
2010-12-29,-6.875
2010-12-30,2.0134
2010-12-31,0.0
2011-01-03,5.2632
2011-01-04,-2.5
2011-01-05,-3.8462
2011-01-06,-6.6667
2011-01-07,0.0
2011-01-10,4.2857
2011-01-11,0.0
2011-01-12,6.8493
2011-01-13,-1.2821
2011-01-14,0.0
2011-01-18,3.8961
2011-01-19,10.0
2011-01-20,6.8182
2011-01-21,2.1277
2011-01-24,-14.5833
2011-01-25,2.439
2011-01-26,5.9524
2011-01-27,11.236
2011-01-28,6.0606
2011-01-31,8.5714
2011-02-01,-3.5088
2011-02-02,-4.5455
2011-02-03,-6.7619
2011-02-04,0.1021
2011-02-07,5.102
2011-02-08,-13.5922
2011-02-09,5.0562
2011-02-10,-0.5348
2011-02-11,2.1505
2011-02-14,-0.0855
2011-02-15,-5.1821
2011-02-16,-6.6667
2011-02-17,-16.6667
2011-02-18,-5.7143
2011-02-22,9.0909
2011-02-23,-1.3889
2011-02-24,-2.1127
2011-02-25,5.036
2011-02-28,0.0
2011-03-01,1.3699
2011-03-02,-8.1081
2011-03-03,7.3529
2011-03-04,4.1096
2011-03-07,3.8158
2011-03-08,0.1267
2011-03-09,-1.2658
2011-03-10,-3.8462
2011-03-11,-6.6667
2011-03-14,1.4285999999999999
2011-03-15,-10.5634
2011-03-16,-0.7874
2011-03-17,-4.7619
2011-03-18,-13.3333
2011-03-21,14.4231
2011-03-22,-2.521
2011-03-23,-1.7241
2011-03-24,-3.5088
2011-03-25,-1.8182
2011-03-28,-7.4074
2011-03-29,4.0
2011-03-30,-4.0385
2011-03-31,4.2084
2011-04-01,-1.9231
2011-04-04,-2.3529
2011-04-05,3.3886
2011-04-06,10.7065
2011-04-07,3.3333
2011-04-08,-6.6213999999999995
2011-04-11,-1.8182
2011-04-12,-3.7037
2011-04-13,-38.2692
2011-04-14,40.1869
2011-04-15,8.8889
2011-04-18,2.0408
2011-04-19,2.0
