ticker,AKVA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-31,-22.5
2006-11-08,56.129
2006-11-09,4.1322
2006-11-10,-3.1746
2006-11-15,0.0
2006-11-21,0.0
2006-12-12,6.5574
2006-12-15,0.0
2006-12-19,-19.2308
2006-12-20,4.7619
2006-12-21,2.7273
2006-12-22,-0.885
2006-12-27,-1.7856999999999998
2006-12-28,4.5455
2006-12-29,-1.7391
2007-01-03,2.6549
2007-01-08,-0.8621
2007-01-09,0.8696
2007-01-16,-5.1724
2007-01-23,4.5455
2007-01-29,0.0
2007-02-06,8.6957
2007-02-08,-8.0
2007-02-13,4.3478
2007-02-27,-5.0
2007-02-28,0.8772
2007-03-05,0.8696
2007-03-16,1.7241
2007-03-19,6.7797
2007-03-23,11.1111
2007-03-26,-10.7143
2007-03-27,0.0
2007-03-28,-0.8
2007-03-30,1.6129
2007-04-03,-0.7937
2007-04-04,0.0
2007-04-05,0.0
2007-04-09,-0.4
2007-04-10,0.4016
2007-04-11,0.0
2007-04-13,0.0
2007-04-16,0.0
2007-04-17,0.8
2007-04-18,3.1746
2007-04-23,3.8462
2007-04-25,3.7037
2007-04-26,-0.7143
2007-04-27,-2.8777
2007-04-30,2.963
2007-05-02,7.9137
2007-05-07,3.3333
2007-05-10,-3.2258
2007-05-15,3.3333
2007-05-16,-3.2258
2007-05-17,13.3333
2007-05-18,0.0
2007-05-21,0.0
2007-05-22,0.0
2007-05-23,0.0
2007-05-25,-5.8824
2007-06-08,-6.25
2007-06-13,6.6667
2007-06-15,0.0
2007-06-18,0.0
2007-06-21,-3.125
2007-06-29,0.0
2007-07-05,-3.2258
2007-07-11,-13.3333
2007-07-12,1.5385
2007-07-17,0.0
2007-07-24,-0.7576
2007-07-27,-0.7634
2007-08-01,15.3846
2007-08-02,3.3333
2007-08-03,-16.129
2007-08-09,-7.6923
2007-08-21,8.3333
2007-08-23,2.3077
2007-08-31,21.8045
2007-09-04,6.1728
2007-09-05,-6.9767
2007-10-01,0.0
2007-10-02,-3.125
2007-10-03,3.2258
2007-10-04,0.0
2007-10-05,0.0
2007-10-08,0.0
2007-10-09,3.125
2007-10-10,0.0
2007-10-11,0.0
2007-10-12,2.4242
2007-10-15,3.5503
2007-10-16,-2.8571
2007-10-17,-0.5882
2007-10-18,0.5917
2007-10-19,0.0
2007-10-22,-2.9412000000000003
2007-10-23,0.0
2007-10-25,0.0
2007-10-26,0.0
2007-10-30,-3.0303
2007-11-05,-3.125
2007-11-08,1.9355
