ticker,WISM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-11,-19.2308
2019-06-14,376.1905
2019-06-20,3.6
2019-07-03,0.0
2019-07-05,0.9653
2019-10-04,-13.9579
