ticker,ANDC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-12,7.3529
2014-03-04,0.0
2015-04-29,28.0956
2015-05-05,0.0
2015-05-08,4.4444
2015-05-11,0.0
2015-05-12,0.0
2015-05-15,-2.1277
2015-05-18,-2.1739
2015-05-19,4.4444
2015-05-20,0.0
2015-07-10,-2.8288
2015-07-13,4.4444
2015-07-14,0.0
2015-07-17,0.0
2015-07-20,-2.1277
2015-07-21,2.1739
2015-07-22,0.0
2015-08-10,2.1277
2015-10-13,-4.1667
2015-10-14,4.3478
2015-12-18,-2.7083
2015-12-21,2.7837
2016-02-01,-1.6913
2016-02-02,3.2258
2016-02-17,-3.9583
2016-02-19,4.1215
2016-02-22,0.0
2016-03-09,0.0
2016-04-26,-3.5417
2016-04-27,3.6717
2016-04-28,2.0833
2016-04-29,0.0
2016-05-06,0.0
2016-07-01,-4.7619
2016-08-02,3.2609
2016-08-03,2.1053
2016-08-04,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-11-16,-2.8866
2016-12-08,1.9108
2017-01-06,-4.8425
2017-01-10,6.6667
2017-01-17,0.3333
2017-01-19,0.0
2017-01-20,1.7442
2017-01-23,1.0204
2017-01-24,0.0
2017-01-25,0.0
2017-02-10,1.0101
2017-02-23,-4.0
2017-02-28,4.1667
2017-03-03,0.0
2017-03-13,-4.0
2017-03-14,4.1667
2017-03-15,0.0
2017-03-16,2.0
2017-03-17,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-24,0.0
2017-03-29,0.0
2017-04-07,-5.8824
2017-04-20,-1.0417
2017-05-12,-2.1053
2017-05-18,5.8065
2017-06-07,0.6098
2017-06-12,-3.0303
2017-06-19,5.2083
2017-06-20,0.0
2017-06-22,1.426
2017-06-26,0.0
2017-06-30,-3.9604
2017-07-17,2.268
2017-07-19,0.0
2017-07-27,0.6048
2017-08-01,-1.6032
2017-08-02,0.0
2017-08-22,1.6293
2017-08-23,-2.6052
2017-08-28,-0.5761
2017-08-29,3.2699
2017-08-30,0.0
2017-08-31,2.2044
2017-09-01,0.0
2017-09-05,0.0
2017-09-11,-4.7059
2017-09-12,2.8807
2017-09-14,0.0
2017-10-02,0.0
2017-10-04,3.8
2017-10-11,-5.5877
2017-10-16,2.449
2017-10-27,-1.3944
2017-11-27,3.4343
2017-12-21,-0.3906
2017-12-29,-0.5569
2018-01-31,0.0
2018-02-05,2.8
2018-02-08,-2.7237
2018-02-14,-6.0
2018-02-22,0.0
2018-03-09,1.7021
