ticker,CFG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-24,7.3488
2014-09-25,-0.13
2014-09-26,0.8677
2014-09-29,-0.086
2014-09-30,0.8179
2014-10-01,0.0854
2014-10-02,-0.4266
2014-10-03,-0.4713
2014-10-06,-2.5398
2014-10-07,-0.53
2014-10-08,1.0213
2014-10-09,-1.1868
2014-10-10,-0.8897
2014-10-13,0.763
2014-10-14,0.0
2014-10-15,-2.6726
2014-10-16,-0.2288
2014-10-17,0.5505
2014-10-20,2.0985
2014-10-21,1.966
2014-10-22,-0.9641
2014-10-23,1.9026999999999998
2014-10-24,0.6513
2014-10-27,-1.4236
2014-10-28,1.8818000000000001
2014-10-29,0.8591
2014-10-30,-0.1704
2014-10-31,0.7679
2014-11-03,1.6088
2014-11-04,-1.25
2014-11-05,1.2711999999999999
2014-11-06,1.6736
2014-11-07,-1.358
2014-11-10,-0.0834
2014-11-11,-0.0418
2014-11-12,-0.3342
2014-11-13,-0.1676
2014-11-14,0.5877
2014-11-17,0.1669
2014-11-18,-1.125
2014-11-19,-0.0421
2014-11-20,-0.0422
2014-11-21,0.2531
2014-11-24,2.0194
2014-11-25,-0.9072
2014-11-26,0.8323
2014-11-28,1.6508
2014-12-01,-2.6391
2014-12-02,0.9174
2014-12-03,0.124
2014-12-04,0.7016
2014-12-05,3.0738
2014-12-08,-0.4374
2014-12-09,0.4792
2014-12-10,-2.027
2014-12-11,0.1623
2014-12-12,-0.9316
2014-12-15,0.1226
2014-12-16,-0.98
2014-12-17,1.2784
2014-12-18,2.1173
2014-12-19,-0.319
2014-12-22,0.4
2014-12-23,1.3546
2014-12-24,0.2752
2014-12-26,-0.784
2014-12-29,0.2371
2014-12-30,-0.7095
2014-12-31,-1.31
2015-01-02,-0.4023
2015-01-05,-2.3425000000000002
2015-01-06,-1.1166
2015-01-07,0.3764
2015-01-08,0.75
2015-01-09,-1.1993
2015-01-12,-0.0419
2015-01-13,-0.0419
2015-01-14,-1.8014000000000001
2015-01-15,-2.0478
2015-01-16,1.0017
2015-01-20,-0.3881
2015-01-21,0.7792
2015-01-22,3.6942
2015-01-23,-1.7812999999999999
2015-01-26,1.6027
2015-01-27,0.2491
2015-01-28,-1.2008
2015-01-29,1.5926
2015-01-30,-1.4026
2015-02-02,0.4184
2015-02-03,1.625
2015-02-04,-1.1527
2015-02-05,1.4161000000000001
2015-02-06,0.616
2015-02-09,-0.9796
2015-02-10,2.3083
2015-02-11,0.6044
2015-02-12,1.4417
