ticker,CSIQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-09,4.2
2006-11-10,-3.5189
2006-11-13,-2.5199
2006-11-14,2.0408
2006-11-15,0.5333
2006-11-16,2.4536
2006-11-17,-1.4887000000000001
2006-11-20,-2.9566
2006-11-21,0.8802
2006-11-22,2.0134
2006-11-24,-1.25
2006-11-27,-1.3991
2006-11-28,-13.2432
2006-11-29,-1.8692
2006-11-30,-4.127
2006-12-01,-0.745
2006-12-04,-11.6764
2006-12-05,10.9537
2006-12-06,-1.7021
2006-12-07,-3.29
2006-12-08,-2.1486
2006-12-11,-5.764
2006-12-12,-2.4272
2006-12-13,0.2985
2006-12-14,1.9841
2006-12-15,-2.7237
2006-12-18,-0.2
2006-12-19,-2.5063
2006-12-20,1.5429
2006-12-21,-1.3158
2006-12-22,-1.8462
2006-12-26,0.3135
2006-12-27,2.4466
2006-12-28,3.0008
2006-12-29,3.4551
2007-01-03,3.2443
2007-01-04,-3.7893
2007-01-05,-2.4976
2007-01-08,-1.6749
2007-01-09,-2.1042
2007-01-10,-0.9212
2007-01-11,2.0661
2007-01-12,0.1012
2007-01-16,-1.4156
2007-01-17,-0.3077
2007-01-18,-2.4691
2007-01-19,-0.211
2007-01-22,0.2114
2007-01-23,3.7975
2007-01-24,9.3496
2007-01-25,-8.0855
2007-01-26,-2.4267
2007-01-29,7.0466
2007-01-30,12.2943
2007-01-31,-5.5172
2007-02-01,4.562
2007-02-02,-1.0471
2007-02-05,7.1429
2007-02-06,-5.0206
2007-02-07,-4.5927
2007-02-08,3.9964
2007-02-09,-4.8035
2007-02-12,-4.6789
2007-02-13,2.6949
2007-02-14,8.2474
2007-02-15,7.4459
2007-02-16,3.3038
2007-02-20,4.7582
2007-02-21,-1.787
2007-02-22,-4.094
2007-02-23,-2.5296
2007-02-26,2.1898
2007-02-27,-10.873
2007-02-28,-0.8905
2007-03-01,-3.8634
2007-03-02,-3.5514
2007-03-05,-4.2636
2007-03-06,6.6802
2007-03-07,-1.0436
2007-03-08,6.8073
2007-03-09,0.5386
2007-03-12,-2.9464
2007-03-13,-0.46
2007-03-14,-13.7708
2007-03-15,0.7503
2007-03-16,-2.9787
2007-03-19,-2.8509
2007-03-20,4.4018
2007-03-21,0.973
2007-03-22,3.3191
2007-03-23,3.1088
2007-03-26,-2.0101
2007-03-27,-1.5385
2007-03-28,-0.1042
2007-03-29,1.2513
2007-03-30,0.4119
2007-04-02,2.0513
2007-04-03,-2.4121
2007-04-04,1.7508
