ticker,ACRS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-07,0.4545
2015-10-08,0.0
2015-10-09,13.1222
2015-10-12,8.8
2015-10-13,-8.3824
2015-10-14,15.2488
2015-10-15,8.3565
2015-10-16,-6.3625
2015-10-19,5.8339
2015-10-20,0.0649
2015-10-21,-3.3052
2015-10-22,-2.815
2015-10-23,-0.4828
2015-10-26,0.3465
2015-10-27,1.2431
2015-10-28,-2.3874
2015-10-29,0.4892
2015-10-30,0.6259
2015-11-02,0.9675
2015-11-03,3.5592
2015-11-04,-1.5202
2015-11-05,2.0805
2015-11-06,-3.5503
2015-11-09,3.2038
2015-11-10,14.2008
2015-11-11,-3.9329
2015-11-12,1.8061
2015-11-13,7.3329
2015-11-16,1.157
2015-11-17,2.451
2015-11-18,6.0606
2015-11-19,-0.2506
2015-11-20,4.7236
2015-11-23,13.4837
2015-11-24,-0.6342
2015-11-25,-0.4681
2015-11-27,0.0428
2015-11-30,0.641
2015-12-01,-1.3163
2015-12-02,-7.9174
2015-12-03,-3.972
2015-12-04,2.8224
2015-12-07,-0.4969
2015-12-08,0.3567
2015-12-09,-0.4739
2015-12-10,2.0952
2015-12-11,2.8451
2015-12-14,2.8118
2015-12-15,-2.8231
2015-12-16,17.8847
2015-12-17,11.3593
2015-12-18,-0.8299
2015-12-21,1.6038999999999999
2015-12-22,0.4804
2015-12-23,-2.015
2015-12-24,1.0457
2015-12-28,-0.7244
2015-12-29,-16.296
2015-12-30,6.2267
2015-12-31,5.2755
2016-01-04,-2.0416
2016-01-05,3.7135
2016-01-06,-6.1746
2016-01-07,-6.6199
2016-01-08,-2.0017
2016-01-11,-17.2766
2016-01-12,5.0926
2016-01-13,-1.2237
2016-01-14,4.8067
2016-01-15,-3.4515000000000002
2016-01-19,-2.1548
2016-01-20,5.3554
2016-01-21,7.1734
2016-01-22,-2.4823
2016-01-25,-8.4091
2016-01-26,8.3871
2016-01-27,-4.3956
2016-01-28,0.2874
2016-01-29,6.1605
2016-02-01,-2.6090999999999998
2016-02-02,1.2933
2016-02-03,0.3192
2016-02-04,-0.1364
2016-02-05,-1.9572
2016-02-08,-5.0139
2016-02-09,-4.2033
2016-02-10,2.6531000000000002
2016-02-11,-1.0934
2016-02-12,-2.2613
2016-02-16,-3.4447
2016-02-17,-16.6667
2016-02-18,-3.3866
2016-02-19,1.1243
2016-02-22,9.6141
2016-02-23,7.4582
2016-02-24,3.276
2016-02-25,1.8817
2016-02-26,-0.1055
2016-02-29,-3.1167
