ticker,MTSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-15,8.1579
2012-03-16,5.8394
2012-03-19,1.1494
2012-03-20,-2.2727
2012-03-21,-1.5349
2012-03-22,-1.3935
2012-03-23,-0.2156
2012-03-26,3.0245
2012-03-27,-2.1435
2012-03-28,0.0476
2012-03-29,-0.9995
2012-03-30,-0.2885
2012-04-02,5.0627
2012-04-03,-0.5966
2012-04-04,-1.662
2012-04-05,2.0657
2012-04-09,-3.2199
2012-04-10,-1.616
2012-04-11,2.029
2012-04-12,-0.5682
2012-04-13,0.2857
2012-04-16,-1.3295
2012-04-17,0.5775
2012-04-18,-2.3445
2012-04-19,-2.1558
2012-04-20,-0.5508
2012-04-23,-0.1511
2012-04-24,1.9667
2012-04-25,0.544
2012-04-26,-1.5739999999999998
2012-04-27,-0.9495
2012-04-30,0.0505
2012-05-01,0.4034
2012-05-02,3.5158
2012-05-03,-1.7952
2012-05-04,-1.1858
2012-05-07,0.9
2012-05-08,-0.8672
2012-05-09,-18.0205
2012-05-10,-1.0366
2012-05-11,-2.9575
2012-05-14,-0.5714
2012-05-15,1.2133
2012-05-16,-4.1009
2012-05-17,-6.1842
2012-05-18,-2.0337
2012-05-21,5.5834
2012-05-22,3.661
2012-05-23,1.308
2012-05-24,-3.9379999999999997
2012-05-25,4.5699
2012-05-29,2.4422
2012-05-30,0.3764
2012-05-31,3.5
2012-06-01,-3.3213
2012-06-04,0.3123
2012-06-05,-1.9614
2012-06-06,2.1912
2012-06-07,0.8701
2012-06-08,5.1756
2012-06-11,-5.1552
2012-06-12,-0.3088
2012-06-13,0.6815
2012-06-14,3.6923
2012-06-15,0.7715
2012-06-18,8.1861
2012-06-19,-1.5787
2012-06-20,-2.1571
2012-06-21,-1.0741
2012-06-22,-1.3714
2012-06-25,-2.1437
2012-06-26,2.8419
2012-06-27,5.6995000000000005
2012-06-28,-1.8519
2012-06-29,2.6637
2012-07-02,-1.6757
2012-07-03,2.5838
2012-07-05,0.5895
2012-07-06,-1.9712
2012-07-09,2.2283
2012-07-10,-3.243
2012-07-11,-9.4505
2012-07-12,0.9709
2012-07-13,-2.2837
2012-07-16,-2.091
2012-07-17,7.0352
2012-07-18,2.4061
2012-07-19,-1.2034
2012-07-20,-1.7401
2012-07-23,-4.1913
2012-07-24,-5.5453
2012-07-25,8.741
2012-07-26,0.24
2012-07-27,3.2316
2012-07-30,4.1159
2012-07-31,-1.5032999999999999
2012-08-01,-4.5222999999999995
2012-08-02,-1.0657
