ticker,SANM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.6571
2000-01-04,-3.4961
2000-01-05,0.1958
2000-01-06,-3.1922
2000-01-07,-1.2113
2000-01-10,10.4223
2000-01-11,-4.6268
2000-01-12,-2.458
2000-01-13,4.5093
2000-01-14,-1.0787
2000-01-18,2.3092
2000-01-19,5.3292
2000-01-20,5.3571
2000-01-21,-1.5819
2000-01-24,2.4684
2000-01-25,0.112
2000-01-26,-6.3794
2000-01-27,0.0598
2000-01-28,-2.509
2000-01-31,4.1667
2000-02-01,0.0
2000-02-02,3.5294
2000-02-03,5.0
2000-02-04,1.7316
2000-02-07,1.0106
2000-02-08,1.4218
2000-02-09,-1.9729999999999999
2000-02-10,0.6356
2000-02-11,-0.6316
2000-02-14,-2.7542
2000-02-15,-0.8715
2000-02-16,-0.7692
2000-02-17,3.9867
2000-02-18,-4.1534
2000-02-22,4.7778
2000-02-23,1.3786
2000-02-24,2.3536
2000-02-25,-0.511
2000-02-28,-4.5198
2000-02-29,0.7531
2000-03-01,0.961
2000-03-02,-3.1729
2000-03-03,2.7307
2000-03-06,1.0633
2000-03-07,2.3146
2000-03-08,0.5656
2000-03-09,4.5501000000000005
2000-03-10,-0.5868
2000-03-13,-4.7713
2000-03-14,-4.1322
2000-03-15,0.0
2000-03-16,9.9138
2000-03-17,3.5294
2000-03-20,-3.0303
2000-03-21,0.7812
2000-03-22,0.7267
2000-03-23,-1.2025000000000001
2000-03-24,2.8238
2000-03-27,-2.8409
2000-03-28,-4.4834
2000-03-29,-0.102
2000-03-30,-7.048
2000-03-31,18.7912
2000-04-03,-11.1008
2000-04-04,2.2893
2000-04-05,0.3052
2000-04-06,3.854
2000-04-07,4.7852
2000-04-10,-15.2842
2000-04-11,-1.5402
2000-04-12,-6.9274000000000004
2000-04-13,-1.0804
2000-04-14,-4.2476
2000-04-17,3.2953
2000-04-18,-3.0675
2000-04-19,12.405100000000001
2000-04-20,0.9009
2000-04-24,-1.8973
2000-04-25,7.3948
2000-04-26,-0.2119
2000-04-27,1.8047
2000-04-28,0.2086
2000-05-01,-4.8907
2000-05-02,-8.3151
2000-05-03,2.0286
2000-05-04,1.1696
2000-05-05,1.1561
2000-05-08,-1.7143000000000002
2000-05-09,-0.2326
2000-05-10,-6.2937
2000-05-11,6.2189
2000-05-12,4.918
2000-05-15,4.9107
2000-05-16,1.0638
2000-05-17,-2.2105
2000-05-18,1.6146
2000-05-19,-7.3093
2000-05-22,5.2571
