ticker,FCGN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-12-27,0.0
2001-12-31,0.0
2002-01-11,0.0
2002-01-16,1.9607999999999999
2002-05-15,34.6154
2002-06-20,92.8571
2002-07-30,3.7037
2002-08-19,0.0
2002-08-28,7.1429
2002-10-15,-6.6667
2002-10-23,0.0
2002-11-20,7.1429
2002-11-25,-6.6667
2002-12-11,0.0
2002-12-19,7.1429
2003-01-15,-6.6667
2003-03-03,7.1429
2003-06-30,6.6667
2003-07-15,3.125
2003-07-18,3.0303
2003-10-21,17.647100000000002
2003-12-12,5.0
2003-12-17,-28.5714
2004-01-06,10.0
2004-01-09,-9.0909
2004-03-16,46.6667
2004-07-12,-27.2727
2004-08-02,87.5
2004-09-27,36.6667
2004-09-28,95.122
2004-10-28,-61.25
2005-07-14,67.7419
2005-10-24,2.8846
2006-02-02,1.8692
2006-02-24,1.8349
2006-04-24,8.1081
2006-06-12,1.6667
2006-06-26,0.0
2006-07-11,0.0
2006-07-27,27.0492
2006-09-27,3.2258
2006-09-28,-2.0
2007-04-17,27.6786
2007-05-23,-15.0849
2007-06-13,23.5294
2007-07-26,33.3333
2007-08-20,-39.2857
2007-08-24,-2.3529
2007-09-06,3.6145
2007-11-05,-3.4884
2007-12-24,0.0
2007-12-27,0.0
2008-05-08,-3.012
2008-05-09,1.8634
2009-03-11,-14.6341
2009-06-22,-14.2857
2009-07-07,-1.6667
2009-09-09,0.1695
2009-11-03,-22.1658
2009-11-25,0.0
2010-05-13,-11.9565
2010-06-21,-25.9259
2010-06-29,-33.3333
2010-07-15,0.0
2010-09-30,50.0
2011-09-26,0.0
2011-12-21,-16.6667
2012-02-14,-56.0
2012-03-29,81.8182
2012-05-01,-25.0
2012-05-07,0.6667
2012-05-09,32.4503
2012-06-12,0.0
2012-08-01,0.0
2012-11-29,0.0
2013-02-14,8.0
2013-03-14,0.0
2013-03-20,4.6296
2013-03-21,10.6195
2013-04-01,60.0
2013-08-07,-36.0
2013-12-19,-1.5625
2014-01-23,0.0
2014-04-07,3.1746
2014-07-15,0.0
2014-08-06,-3.8462
2015-05-28,-15.2
2015-06-04,-0.9434
2015-07-16,0.9524
2015-12-01,-0.9434
2015-12-14,-40.4762
2016-01-12,60.0
2016-03-07,0.0
2018-06-26,12.5
2018-09-25,33.3333
2019-08-09,33.6667
2019-09-27,-0.2494
2019-09-30,-25.0
2019-11-04,33.3333
2020-02-26,-50.0
