ticker,BGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-11-16,-2.0
2005-11-17,-0.1458
2005-11-18,-2.9196999999999997
2005-11-21,0.9023
2005-11-22,-1.6393
2005-11-25,0.0
2005-11-28,-1.2121
2005-11-29,-0.3067
2005-11-30,0.0
2005-12-01,-3.0769
2005-12-02,-0.1587
2005-12-05,-2.2258
2005-12-06,-2.439
2005-12-07,1.6667
2005-12-08,-0.8197
2005-12-09,-0.8264
2005-12-12,-0.1667
2005-12-13,0.6678
2005-12-14,-0.1658
2005-12-15,-0.3322
2005-12-16,0.0
2005-12-19,0.0
2005-12-20,1.6667
2005-12-21,-0.8197
2005-12-23,0.0
2005-12-27,-0.8264
2005-12-28,1.3333
2005-12-29,-0.4934
2005-12-30,-2.4793
2006-01-03,0.8475
2006-01-04,0.8403
2006-01-06,0.8333
2006-01-09,3.3058
2006-01-10,2.4
2006-01-11,0.7813
2006-01-12,2.3256
2006-01-13,3.0303
2006-01-17,-2.9412000000000003
2006-01-18,3.7879
2006-01-19,-3.6496
2006-01-20,-1.5152
2006-01-23,1.2308
2006-01-24,-0.4559
2006-01-25,2.2901
2006-01-26,-1.4925
2006-01-27,-1.2121
2006-01-30,-0.3067
2006-01-31,0.0
2006-02-01,-3.0769
2006-02-02,3.1746
2006-02-03,-2.3077
2006-02-06,-0.7874
2006-02-07,-1.5873
2006-02-08,-0.8065
2006-02-09,0.1951
2006-02-14,-1.0062
2006-02-17,0.0
2006-02-21,0.8197
2006-02-22,0.0
2006-02-23,-1.3008
2006-02-27,0.4942
2006-02-28,0.8197
2006-03-01,-0.813
2006-03-02,0.0
2006-03-03,1.9672
2006-03-06,-0.3215
2006-03-07,0.0
2006-03-08,-0.8065
2006-03-09,-0.813
2006-03-10,0.1639
2006-03-14,0.491
2006-03-15,0.0
2006-03-16,0.4886
2006-03-17,-0.9724
2006-03-20,-0.1637
2006-03-21,0.6557
2006-03-22,0.0
2006-03-23,0.0
2006-03-24,0.1629
2006-03-28,-0.813
2006-03-29,0.8197
2006-03-30,-0.4878
2006-03-31,0.0
2006-04-04,-0.3268
2006-04-06,0.0
2006-04-07,0.1639
2006-04-10,-0.1637
2006-04-11,-0.4918
2006-04-12,0.4942
2006-04-13,0.1639
2006-04-17,0.491
2006-04-18,0.1629
2006-04-20,-0.813
2006-04-21,0.0
2006-04-24,1.6393
2006-04-25,-1.2903
2006-04-26,-0.1634
2006-04-27,0.6547
2006-04-28,-0.813
2006-05-01,0.6557
