ticker,KMPH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-16,1.8182
2015-04-17,-0.8929
2015-04-20,0.2252
2015-04-21,-0.5843
2015-04-22,-0.0904
2015-04-23,0.362
2015-04-24,-0.3607
2015-04-27,-0.4525
2015-04-28,0.0364
2015-04-29,0.8724
2015-04-30,-0.5405
2015-05-01,2.6268000000000002
2015-05-04,-0.7944
2015-05-05,0.5338
2015-05-06,0.4425
2015-05-07,0.3965
2015-05-08,5.7481
2015-05-11,3.7344
2015-05-12,-7.36
2015-05-13,4.8791
2015-05-14,2.5113
2015-05-15,0.4016
2015-05-18,-3.6
2015-05-19,-4.7303
2015-05-20,0.3484
2015-05-21,3.0382
2015-05-22,-1.4322
2015-05-26,1.2821
2015-05-27,-3.7131
2015-05-28,1.0517
2015-05-29,6.8517
2015-06-01,5.0325
2015-06-02,1.1592
2015-06-03,0.2292
2015-06-04,9.6037
2015-06-05,-0.9736
2015-06-08,3.0197
2015-06-09,-0.6135
2015-06-10,7.9561
2015-06-11,-0.0635
2015-06-12,4.9587
2015-06-15,1.4537
2015-06-16,-2.8657
2015-06-17,12.9687
2015-06-18,3.6452999999999998
2015-06-19,-4.1995000000000005
2015-06-22,7.1781
2015-06-23,-0.2556
2015-06-24,-6.1507
2015-06-25,-0.1092
2015-06-26,3.4445
2015-06-29,-3.2241
2015-06-30,0.3277
2015-07-01,-3.1029
2015-07-02,-0.0562
2015-07-06,-1.4615
2015-07-07,-2.1107
2015-07-08,0.4079
2015-07-09,4.6721
2015-07-10,-0.4713
2015-07-13,3.454
2015-07-14,2.9079
2015-07-15,-4.7619
2015-07-16,4.3956
2015-07-17,-2.4211
2015-07-20,-3.2902
2015-07-21,0.9481
2015-07-22,-1.4365
2015-07-23,0.7287
2015-07-24,-2.1146
2015-07-27,-3.1268
2015-07-28,0.1174
2015-07-29,-3.3411
2015-07-30,-0.0606
2015-07-31,2.0639
2015-08-03,-5.0542
2015-08-04,-1.6280999999999999
2015-08-05,0.5092
2015-08-06,1.33
2015-08-07,2.125
2015-08-10,-2.0808
2015-08-11,0.625
2015-08-12,-1.4907
2015-08-13,7.4401
2015-08-14,25.8803
2015-08-17,7.4126
2015-08-18,-3.342
2015-08-19,-4.5802
2015-08-20,-3.4353
2015-08-21,-1.5716
2015-08-24,-7.8599
2015-08-25,2.2031
2015-08-26,0.4732
2015-08-27,2.7734
2015-08-28,-1.1202
2015-08-31,0.9784
2015-09-01,2.3967
2015-09-02,-0.1494
