ticker,CHHE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-01-16,-46.0
2007-01-17,-7.4074
2007-01-18,-8.0
2007-01-22,-21.7391
2007-01-30,-44.4444
2007-01-31,-40.0
2007-02-06,16.6667
2007-02-07,-14.2857
2007-02-08,16.6667
2007-02-09,0.0
2007-02-12,14.2857
2007-02-20,-12.5
2007-02-22,-28.5714
2007-02-23,20.0
2007-02-26,0.0
2007-02-27,0.0
2007-03-01,0.0
2007-03-02,0.0
2007-03-19,-10.0
2007-03-21,-7.4074
2007-04-09,-20.0
2007-04-10,-50.0
2007-04-12,125.0
2007-04-13,0.0
2007-04-16,22.2222
2007-04-17,0.0
2007-04-18,0.0
2007-04-19,-9.0909
2007-04-20,-40.0
2007-04-23,0.0
2007-04-24,33.3333
2007-04-25,0.0
2007-04-26,0.0
2007-04-27,0.0
2007-04-30,-12.5
2007-05-01,28.5714
2007-05-02,11.1111
2007-05-03,0.0
2007-05-04,20.0
2007-05-07,33.3333
2007-05-08,25.0
2007-05-09,0.0
2007-05-10,-20.0
2007-05-11,12.5
2007-05-14,-11.1111
2007-05-15,0.0
2007-05-17,-50.0
2007-05-18,25.0
2007-05-21,40.0
2007-05-22,-41.4286
2007-05-23,21.9512
2007-05-24,0.0
2007-05-25,0.0
2007-05-29,0.0
2007-05-30,20.0
2007-05-31,0.0
2007-06-01,0.0
2007-06-04,8.3333
2007-06-06,-7.6923
2007-06-07,-16.6667
2007-06-08,0.0
2007-06-11,-20.0
2007-06-13,0.0
2007-06-14,12.5
2007-06-19,11.1111
2007-06-21,0.0
2007-06-25,0.0
2007-06-28,0.0
2007-06-29,0.0
2007-07-02,0.0
2007-07-05,-24.0
2007-07-06,-5.2632
2007-07-09,-22.2222
2007-07-10,0.0
2007-07-11,0.0
2007-07-12,7.1429
2007-07-13,16.6667
2007-07-24,-8.5714
2007-07-25,-6.25
2007-07-26,0.0
2007-07-27,0.0
2007-07-30,16.6667
2007-08-03,5.7143
2007-08-06,-18.9189
2007-08-07,10.0
2007-08-08,21.2121
2007-08-10,-20.0
2007-08-13,25.0
2007-08-20,10.0
2007-08-21,18.1818
2007-08-22,-3.8462
2007-08-23,-20.0
2007-08-29,0.0
2007-08-30,0.0
2007-09-04,0.0
2007-09-05,-12.5
2007-09-07,14.2857
2007-09-11,0.0
2007-09-13,0.0
2007-09-17,-20.0
2007-09-18,-21.875
2007-09-19,-20.0
2007-09-20,15.0
2007-09-21,-13.0435
2007-09-25,-35.0
