ticker,VRNS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-28,100.0
2014-03-03,-1.8409
2014-03-04,4.1908
2014-03-05,9.4444
2014-03-06,7.797
2014-03-07,0.7346
2014-03-10,-11.2004
2014-03-11,-6.2118
2014-03-12,-1.2124
2014-03-13,-2.0455
2014-03-14,-2.5522
2014-03-17,6.0952
2014-03-18,1.0099
2014-03-19,2.9549
2014-03-20,-5.6754
2014-03-21,-8.8081
2014-03-24,-8.4044
2014-03-25,19.9124
2014-03-26,-12.3344
2014-03-27,-4.6378
2014-03-28,-4.153
2014-03-31,1.9384000000000001
2014-04-01,3.3837
2014-04-02,-4.5442
2014-04-03,-5.384
2014-04-04,-4.4025
2014-04-07,-6.109
2014-04-08,-11.011
2014-04-09,8.8114
2014-04-10,-7.2708
2014-04-11,-4.7194
2014-04-14,4.9922
2014-04-15,-1.5602
2014-04-16,2.3774
2014-04-17,4.0914
2014-04-21,-3.1161
2014-04-22,11.4035
2014-04-23,-5.1181
2014-04-24,-2.8354
2014-04-25,-7.9715
2014-04-28,-9.8995
2014-04-29,6.9957
2014-04-30,1.3638
2014-05-01,9.9723
2014-05-02,-1.4394
2014-05-05,2.7382
2014-05-06,-12.8998
2014-05-07,-4.08
2014-05-08,-4.849
2014-05-09,-2.0563
2014-05-12,0.4564
2014-05-13,-2.9532
2014-05-14,-2.2004
2014-05-15,-0.5266
2014-05-16,2.5987
2014-05-19,14.7045
2014-05-20,-5.2137
2014-05-21,3.4944
2014-05-22,4.3351
2014-05-23,0.1998
2014-05-27,-2.4721
2014-05-28,-3.5977
2014-05-29,5.0466
2014-05-30,-1.1304
2014-06-02,-3.8383000000000003
2014-06-03,-6.4968
2014-06-04,-3.0427
2014-06-05,0.7963
2014-06-06,5.855
2014-06-09,0.7024
2014-06-10,-1.3078
2014-06-11,0.7951
2014-06-12,-1.3585
2014-06-13,1.9990999999999999
2014-06-16,5.27
2014-06-17,-1.2412
2014-06-18,-1.5082
2014-06-19,3.4028
2014-06-20,5.9646
2014-06-23,-1.1258
2014-06-24,0.3534
2014-06-25,1.7214
2014-06-26,5.5
2014-06-27,4.0467
2014-06-30,1.6468
2014-07-01,4.4123
2014-07-02,0.9574
2014-07-03,0.981
2014-07-07,-5.2461
2014-07-08,-8.8859
2014-07-09,-4.2761
2014-07-10,-3.0172
2014-07-11,-0.3232
2014-07-14,-2.9591
2014-07-15,-4.6366
2014-07-16,-2.6281
2014-07-17,-3.5538
2014-07-18,5.9235
