ticker,LTHM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-11,-0.1765
2018-10-12,-4.2428
2018-10-15,-1.5385
2018-10-16,0.3125
2018-10-17,2.1807
2018-10-18,-0.122
2018-10-19,-0.2442
2018-10-22,0.612
2018-10-23,-5.292
2018-10-24,-7.8356
2018-10-25,5.9233
2018-10-26,3.1579
2018-10-29,-0.8291
2018-10-30,-1.9293
2018-10-31,2.2951
2018-11-01,6.4103
2018-11-02,1.5663
2018-11-05,0.4152
2018-11-06,1.7128999999999999
2018-11-07,3.9489
2018-11-08,0.0
2018-11-09,4.2458
2018-11-12,-1.6613
2018-11-13,-2.6703
2018-11-14,4.1433
2018-11-15,0.8602
2018-11-16,-4.2644
2018-11-19,-3.2294
2018-11-20,-3.2221
2018-11-21,-0.9512
2018-11-23,2.8811999999999998
2018-11-26,3.8506
2018-11-27,-0.9551
2018-11-28,3.063
2018-11-29,4.568
2018-11-30,-2.9474
2018-12-03,3.9588
2018-12-04,-8.242
2018-12-06,-1.8761
2018-12-07,-2.6651
2018-12-10,-0.8333
2018-12-11,-2.8211
2018-12-12,0.1853
2018-12-13,-1.1097
2018-12-14,-4.3017
2018-12-17,-4.9511
2018-12-18,-0.3427
2018-12-19,-2.2008
2018-12-20,-9.6343
2018-12-21,0.4669
2018-12-24,-4.725
2018-12-26,6.1789
2018-12-27,3.4455999999999998
2018-12-28,4.2931
2018-12-31,-2.0582
2019-01-02,1.3768
2019-01-03,-2.8592
2019-01-04,4.9301
2019-01-07,0.9818
2019-01-08,-0.3472
2019-01-09,-0.3484
2019-01-10,1.8182
2019-01-11,-2.6099
2019-01-14,-0.8463
2019-01-15,-4.5519
2019-01-16,-1.4158
2019-01-17,-1.7385000000000002
2019-01-18,0.4615
2019-01-22,-1.608
2019-01-23,-0.5447
2019-01-24,-2.0344
2019-01-25,7.1885
2019-01-28,-1.6393
2019-01-29,-2.5
2019-01-30,-1.3209
2019-01-31,-0.315
2019-02-01,-1.3428
2019-02-04,0.8006
2019-02-05,1.0326
2019-02-06,0.9434
2019-02-07,-2.2586
2019-02-08,0.9562
2019-02-11,3.5517
2019-02-12,-4.3445
2019-02-13,4.3028
2019-02-14,-4.3545
2019-02-15,2.6358
2019-02-19,-1.4008
2019-02-20,4.6567
2019-02-21,0.9804
2019-02-22,2.4645
2019-02-25,1.5306
2019-02-26,-7.107
2019-02-27,-3.5549
2019-02-28,2.5641
2019-03-01,0.7813
2019-03-04,-2.4806
2019-03-05,5.0874
