ticker,EVRI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-09-23,6.8571
2005-09-26,0.2674
2005-09-27,-1.6667
2005-09-28,-0.678
2005-09-29,-4.3686
2005-09-30,0.6424
2005-10-03,-0.2128
2005-10-04,1.1372
2005-10-05,0.1405
2005-10-06,0.1404
2005-10-07,0.2102
2005-10-10,0.2098
2005-10-11,-0.2094
2005-10-12,-1.1888
2005-10-13,-0.5662
2005-10-14,0.3559
2005-10-17,0.1418
2005-10-18,0.2125
2005-10-19,-0.7067
2005-10-20,-0.6406
2005-10-21,-0.5731
2005-10-24,-0.9366
2005-10-25,-4.7273
2005-10-26,-3.3588
2005-10-27,8.6098
2005-10-28,1.4545
2005-10-31,0.5018
2005-11-01,-0.6419
2005-11-02,-0.9332
2005-11-03,-1.3043
2005-11-04,-0.514
2005-11-07,-1.845
2005-11-08,-1.2782
2005-11-09,-3.1226
2005-11-10,5.3459
2005-11-11,-2.2388
2005-11-14,-0.6107
2005-11-15,-1.1521
2005-11-16,-1.3209
2005-11-17,2.8346
2005-11-18,1.072
2005-11-21,0.2273
2005-11-22,-0.2268
2005-11-23,-0.4545
2005-11-25,-0.1522
2005-11-28,-2.439
2005-11-29,-0.7813
2005-11-30,-0.3937
2005-12-01,0.9486
2005-12-02,2.2709
2005-12-05,1.5314
2005-12-06,3.6199
2005-12-07,0.655
2005-12-08,0.1446
2005-12-09,0.9386
2005-12-12,0.7868
2005-12-13,1.9163000000000001
2005-12-14,-1.3928
2005-12-15,5.2966
2005-12-16,0.1341
2005-12-19,-1.5405
2005-12-20,-1.3605
2005-12-21,1.8620999999999999
2005-12-22,1.0156
2005-12-23,-1.0724
2005-12-27,0.271
2005-12-28,-0.3378
2005-12-29,0.0
2005-12-30,-1.0847
2006-01-03,-0.0685
2006-01-04,0.6859
2006-01-05,-1.4986
2006-01-06,0.7607
2006-01-09,-0.6177
2006-01-10,-0.2072
2006-01-11,3.1142
2006-01-12,0.604
2006-01-13,-1.2675
2006-01-17,-2.3649
2006-01-18,6.2284
2006-01-19,-2.3453
2006-01-20,-1.2008
2006-01-23,-0.0675
2006-01-24,0.0
2006-01-25,-1.3514
2006-01-26,0.8904
2006-01-27,2.5119
2006-01-30,1.3245
2006-01-31,1.0458
2006-02-01,3.6223
2006-02-02,-1.1236
2006-02-03,-0.3157
2006-02-06,-1.9633
2006-02-07,2.0026
2006-02-08,4.6232
2006-02-09,1.9976
2006-02-10,-0.2967
2006-02-13,-0.0595
2006-02-14,-0.536
