ticker,LOB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-23,12.1765
2015-07-24,0.9963
2015-07-27,1.2461
2015-07-28,1.5385
2015-07-29,3.7374
2015-07-30,-1.8987
2015-07-31,0.0496
2015-08-03,0.0496
2015-08-04,0.942
2015-08-05,1.4243999999999999
2015-08-06,-0.1937
2015-08-07,-1.9407999999999999
2015-08-10,-1.0886
2015-08-11,0.7504
2015-08-12,-0.2483
2015-08-13,-0.8462
2015-08-14,-3.5141
2015-08-17,1.5609
2015-08-18,1.5369000000000002
2015-08-19,0.1514
2015-08-20,-1.6625
2015-08-21,-2.1004
2015-08-24,-2.5641
2015-08-25,2.8464
2015-08-26,2.7676
2015-08-27,-0.9146
2015-08-28,-0.7179
2015-08-31,-0.4649
2015-09-01,0.0
2015-09-02,-0.1038
2015-09-03,0.5714
2015-09-04,-2.9959
2015-09-08,3.6209
2015-09-09,-2.8777
2015-09-10,0.9524
2015-09-11,0.3145
2015-09-14,1.4628999999999999
2015-09-15,1.4418
2015-09-16,0.0508
2015-09-17,-0.0507
2015-09-18,-0.9645
2015-09-21,1.3326
2015-09-22,0.7587
2015-09-23,-0.1004
2015-09-24,1.0055
2015-09-25,-1.4435
2015-09-28,0.8586
2015-09-29,0.2003
2015-09-30,-1.8491
2015-10-01,-1.5274999999999999
2015-10-02,-2.4819
2015-10-05,0.7423
2015-10-06,-2.3684
2015-10-07,0.1617
2015-10-08,-0.5382
2015-10-09,4.4372
2015-10-12,-0.9845
2015-10-13,-1.9362
2015-10-14,-0.8004
2015-10-15,-0.2152
2015-10-16,-2.5337
2015-10-19,-3.3186
2015-10-20,0.4005
2015-10-21,-3.6467
2015-10-22,-5.3223
2015-10-23,2.5609
2015-10-26,-0.3654
2015-10-27,-5.379
2015-10-28,0.1938
2015-10-29,-7.0922
2015-10-30,-0.4858
2015-11-02,4.1144
2015-11-03,0.8707
2015-11-04,-1.7264
2015-11-05,-1.6892
2015-11-06,0.4124
2015-11-09,-0.8898
2015-11-10,0.2072
2015-11-11,0.6203
2015-11-12,-1.3699
2015-11-13,-2.2222
2015-11-16,2.4858000000000002
2015-11-17,-1.0395
2015-11-18,0.8403
2015-11-19,1.0417
2015-11-20,3.0241
2015-11-23,-1.2675
2015-11-24,0.7432
2015-11-25,1.8779
2015-11-27,0.4608
2015-11-30,3.5387
2015-12-01,-3.7342
2015-12-02,-5.5227
2015-12-03,0.0696
2015-12-04,1.5994000000000002
2015-12-07,-3.4908
2015-12-08,-6.4539
