ticker,PINS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-18,28.4211
2019-04-22,2.418
2019-04-23,3.4414
2019-04-24,3.675
2019-04-25,7.4627
2019-04-26,3.6458
2019-04-29,14.7739
2019-04-30,-9.5738
2019-05-01,0.807
2019-05-02,-4.7711
2019-05-03,-4.6402
2019-05-06,4.0197
2019-05-07,-2.7458
2019-05-08,2.8581
2019-05-09,-2.5754
2019-05-10,1.0435
2019-05-13,-8.3305
2019-05-14,8.8622
2019-05-15,-1.2418
2019-05-16,7.789
2019-05-17,-13.4802
2019-05-20,-3.1835
2019-05-21,-1.7021
2019-05-22,-3.1877
2019-05-23,-3.252
2019-05-24,7.1429
2019-05-28,1.1764999999999999
2019-05-29,-0.8527
2019-05-30,-0.2737
2019-05-31,-2.3128
2019-06-03,-2.0867
2019-06-04,-0.8197
2019-06-05,3.0579
2019-06-06,3.4884
2019-06-07,6.974
2019-06-10,1.1952
2019-06-11,-5.2255
2019-06-12,2.1526
2019-06-13,-0.3697
2019-06-14,1.7069
2019-06-17,1.6053
2019-06-18,3.4111000000000002
2019-06-19,-2.4653
2019-06-20,-1.958
2019-06-21,1.5977000000000001
2019-06-24,-4.6104
2019-06-25,-2.0607
2019-06-26,0.3443
2019-06-27,3.8124000000000002
2019-06-28,-0.0367
2019-07-01,-1.9838
2019-07-02,0.8621
2019-07-03,2.081
2019-07-05,-0.8009
2019-07-08,-1.7614999999999998
2019-07-09,-0.1868
2019-07-10,-0.524
2019-07-11,-1.8058999999999998
2019-07-12,1.1877
2019-07-15,0.9845
2019-07-16,-0.5999
2019-07-17,-2.2633
2019-07-18,-0.5017
2019-07-19,-0.8534
2019-07-22,2.5822000000000003
2019-07-23,2.1358
2019-07-24,3.8834999999999997
2019-07-25,-0.8267
2019-07-26,0.1812
2019-07-29,0.7959
2019-07-30,2.7279
2019-07-31,1.2928
2019-08-01,-2.3801
2019-08-02,18.6219
2019-08-05,0.4468
2019-08-06,-3.0842
2019-08-07,-1.7748
2019-08-08,4.0187
2019-08-09,0.1198
2019-08-12,0.5684
2019-08-13,2.3795
2019-08-14,-6.3626
2019-08-15,-0.6826
2019-08-16,0.656
2019-08-19,3.4451
2019-08-20,3.0903
2019-08-21,6.4028
2019-08-22,-3.0908
2019-08-23,-2.6249000000000002
2019-08-26,2.5507
2019-08-27,-4.2962
2019-08-28,0.1772
2019-08-29,2.4764
2019-08-30,-0.9781
2019-09-03,-1.7722
2019-09-04,-3.5197000000000003
