ticker,PEB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-12-09,2.25
2009-12-10,0.2445
2009-12-11,3.6585
2009-12-14,-1.3176
2009-12-15,0.1431
2009-12-16,0.0
2009-12-17,-1.4285999999999999
2009-12-18,3.8164
2009-12-21,3.6296
2009-12-22,-1.2124
2009-12-23,-1.5909
2009-12-24,1.3395000000000001
2009-12-28,-0.5469
2009-12-29,0.1833
2009-12-30,1.7841
2009-12-31,-1.0787
2010-01-04,-2.9986
2010-01-05,1.8267
2010-01-06,0.046
2010-01-07,-2.023
2010-01-08,-0.8916
2010-01-11,-0.4261
2010-01-12,-2.2349
2010-01-13,0.0486
2010-01-14,0.2917
2010-01-15,0.921
2010-01-19,3.4582
2010-01-20,0.2786
2010-01-21,-0.2315
2010-01-22,-2.0418
2010-01-25,-1.8475000000000001
2010-01-26,-1.7856999999999998
2010-01-27,-0.9828
2010-01-28,2.2829
2010-01-29,0.0485
2010-02-01,-1.7944
2010-02-02,0.4938
2010-02-03,-0.2948
2010-02-04,-0.0493
2010-02-05,0.1972
2010-02-08,-1.1319
2010-02-09,-0.1493
2010-02-10,0.0997
2010-02-11,-0.249
2010-02-12,1.5976
2010-02-16,-0.4423
2010-02-17,-0.6417
2010-02-18,-0.5961
2010-02-19,0.6497
2010-02-22,1.0427
2010-02-23,-0.8845
2010-02-24,0.942
2010-02-25,-1.1788
2010-02-26,0.6958
2010-03-01,0.5429
2010-03-02,1.7182
2010-03-03,0.8687
2010-03-04,1.4354
2010-03-05,1.0377
2010-03-08,0.0
2010-03-09,-1.0738
2010-03-10,-1.3214000000000001
2010-03-11,0.6695
2010-03-12,0.6176
2010-03-15,-0.8499
2010-03-16,2.2381
2010-03-17,-0.1397
2010-03-18,-2.0522
2010-03-19,-4.2857
2010-03-22,1.7412999999999998
2010-03-23,0.8313
2010-03-24,-0.5335
2010-03-25,1.999
2010-03-26,0.1434
2010-03-29,-0.0477
2010-03-30,-0.2865
2010-03-31,0.7184
2010-04-01,-0.3804
2010-04-05,0.5728
2010-04-06,0.0949
2010-04-07,-0.7112
2010-04-08,-2.9608
2010-04-09,-0.1476
2010-04-12,1.1336
2010-04-13,-0.731
2010-04-14,0.8837
2010-04-15,-0.1946
2010-04-16,-2.1941
2010-04-19,-0.349
2010-04-20,0.3002
2010-04-21,0.0
2010-04-22,0.1995
2010-04-23,-0.448
2010-04-26,-0.65
2010-04-27,0.2013
2010-04-28,0.2009
2010-04-29,-1.5038
2010-04-30,0.2545
