ticker,WAT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.8302
2000-01-04,-4.8544
2000-01-05,6.25
2000-01-06,-3.0012
2000-01-07,3.0941
2000-01-10,-3.3613
2000-01-11,-1.9876
2000-01-12,-0.507
2000-01-13,0.1274
2000-01-14,-1.2723
2000-01-18,-1.8041
2000-01-19,-2.7559
2000-01-20,-4.9933
2000-01-21,9.0909
2000-01-24,4.5573
2000-01-25,37.609
2000-01-26,-0.8145
2000-01-27,-4.0146
2000-01-28,1.5209000000000001
2000-01-31,10.6742
2000-02-01,1.4382
2000-02-02,0.0834
2000-02-03,0.0
2000-02-04,14.3333
2000-02-07,-1.5306
2000-02-08,-3.0348
2000-02-09,-2.7481
2000-02-10,4.4741
2000-02-11,-0.4508
2000-02-14,0.3774
2000-02-15,10.6767
2000-02-16,-3.2609
2000-02-17,8.2865
2000-02-18,-0.8431
2000-02-22,-6.017
2000-02-23,-3.6882
2000-02-24,6.2861
2000-02-25,8.7695
2000-02-28,-5.25
2000-02-29,3.496
2000-03-01,-1.0835
2000-03-02,-4.2526
2000-03-03,1.3458999999999999
2000-03-06,13.413
2000-03-07,-3.0445
2000-03-08,-5.5556
2000-03-09,2.6854
2000-03-10,0.934
2000-03-13,-2.7144
2000-03-14,-8.1801
2000-03-15,4.7652
2000-03-16,-4.944
2000-03-17,-2.4272
2000-03-20,-2.2743
2000-03-21,-3.1273
2000-03-22,14.4144
2000-03-23,2.6247
2000-03-24,-7.9923
2000-03-27,3.6831
2000-03-28,-4.8257
2000-03-29,-1.0563
2000-03-30,-1.7793999999999999
2000-03-31,10.4348
2000-04-03,-8.5302
2000-04-04,1.076
2000-04-05,4.1874
2000-04-06,1.5668
2000-04-07,4.4936
2000-04-10,-1.4121000000000001
2000-04-11,-5.4036
2000-04-12,-2.4776
2000-04-13,-0.2823
2000-04-14,-4.4586
2000-04-17,-8.2222
2000-04-18,0.8878
2000-04-19,5.36
2000-04-20,0.6074
2000-04-24,-3.0943
2000-04-25,7.243
2000-04-26,5.3014
2000-04-27,-4.6207
2000-04-28,9.6168
2000-05-01,-2.2427
2000-05-02,-1.6869
2000-05-03,-4.4612
2000-05-04,2.227
2000-05-05,3.0921
2000-05-08,0.4772
2000-05-09,1.2212
2000-05-10,-3.4182
2000-05-11,1.8737
2000-05-12,-0.4768
2000-05-15,0.0
2000-05-16,2.6694
2000-05-17,1.8667
2000-05-18,1.0471
2000-05-19,-3.6917
2000-05-22,-3.1607
