ticker,GHL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-05-06,17.1429
2004-05-07,-2.9268
2004-05-10,-4.0201
2004-05-11,0.6806
2004-05-12,-1.196
2004-05-13,-2.1053
2004-05-14,2.6882
2004-05-17,-0.7853
2004-05-18,-1.7942
2004-05-19,2.0956
2004-05-20,-1.2631999999999999
2004-05-21,1.2793
2004-05-24,2.0526
2004-05-25,4.4353
2004-05-26,-1.7284000000000002
2004-05-27,2.7638
2004-05-28,-0.7335
2004-06-01,0.3941
2004-06-02,0.5397
2004-06-03,0.5368
2004-06-04,1.068
2004-06-07,-0.3362
2004-06-08,-1.012
2004-06-09,0.3408
2004-06-10,4.755
2004-06-14,-0.5095
2004-06-15,0.5587
2004-06-16,-3.0093
2004-06-17,1.6705999999999999
2004-06-18,2.3944
2004-06-21,-1.1921
2004-06-22,-1.3457
2004-06-23,4.1863
2004-06-24,-0.6772
2004-06-25,-2.0455
2004-06-28,-1.2529
2004-06-29,-1.5508
2004-06-30,-0.1909
2004-07-01,-0.5261
2004-07-02,0.0
2004-07-06,-1.6346
2004-07-07,0.1955
2004-07-08,-1.2195
2004-07-09,-2.5185
2004-07-12,3.8501
2004-07-13,0.5854
2004-07-14,-0.485
2004-07-15,-1.7057
2004-07-16,-0.2975
2004-07-19,0.9448
2004-07-20,1.4285999999999999
2004-07-21,-0.34
2004-07-22,-2.0468
2004-07-23,0.2488
2004-07-26,-0.6948
2004-07-27,1.6992
2004-07-28,-0.8354
2004-07-29,0.0991
2004-07-30,1.2376
2004-08-02,-0.7335
2004-08-03,-2.069
2004-08-04,0.0503
2004-08-05,-0.3017
2004-08-06,0.8573
2004-08-09,-0.2
2004-08-10,-0.1002
2004-08-11,-0.2006
2004-08-12,0.4523
2004-08-13,1.0505
2004-08-16,-0.2475
2004-08-17,0.0
2004-08-18,0.1993
2004-08-19,-0.0497
2004-08-20,-0.4975
2004-08-23,-0.35
2004-08-24,0.2007
2004-08-25,-0.0501
2004-08-26,0.2004
2004-08-27,-0.75
2004-08-30,2.5189
2004-08-31,0.4914
2004-09-01,1.1736
2004-09-02,-0.7733
2004-09-03,1.0716
2004-09-07,1.5422
2004-09-08,0.0949
2004-09-09,5.2632
2004-09-10,-0.3604
2004-09-13,0.9042
2004-09-14,-0.0896
2004-09-15,8.3408
2004-09-16,-1.904
2004-09-17,1.4768
2004-09-20,-1.2474
2004-09-21,1.0947
2004-09-22,-0.4165
2004-09-23,-0.2091
2004-09-24,0.1257
