ticker,YIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-04-27,0.0
2016-04-28,2.2222
2016-04-29,1.087
2016-05-02,-1.0753
2016-05-03,-0.8696
2016-05-04,-1.3158
2016-05-05,-0.1111
2016-05-06,-0.6303
2016-05-09,-0.2239
2016-05-10,-0.5236
2016-05-11,1.5038
2016-05-12,-0.3704
2016-05-13,0.1487
2016-05-16,-0.0742
2016-05-17,0.2229
2016-05-18,-1.5567
2016-05-19,-4.631
2016-05-20,0.5922
2016-05-23,2.0408
2016-05-24,-0.7308
2016-05-25,-2.5183999999999997
2016-05-26,-0.6359
2016-05-27,-0.16
2016-05-31,-0.4808
2016-06-01,1.6103
2016-06-02,-0.5547
2016-06-03,1.4343
2016-06-06,-1.0212
2016-06-07,-0.3968
2016-06-08,-0.3984
2016-06-09,-1.8399999999999999
2016-06-10,-2.608
2016-06-13,-6.6946
2016-06-14,1.3453
2016-06-15,11.5044
2016-06-16,2.3016
2016-06-17,2.7153
2016-06-20,-0.9819
2016-06-21,0.8391
2016-06-22,1.7398
2016-06-23,-1.7844
2016-06-24,0.0757
2016-06-27,2.118
2016-06-28,-2.1481
2016-06-29,1.0598
2016-06-30,2.7715
2016-07-01,1.6764000000000001
2016-07-05,3.5842
2016-07-06,3.1142
2016-07-07,0.0
2016-07-08,-4.5638
2016-07-11,2.1097
2016-07-12,-1.584
2016-07-13,0.6298
2016-07-14,0.4868
2016-07-15,9.8962
2016-07-18,-4.0302
2016-07-19,-3.2808
2016-07-20,8.6839
2016-07-21,-5.7428
2016-07-22,-1.9205
2016-07-25,-7.765
2016-07-26,4.0996
2016-07-27,-1.5471
2016-07-28,7.0
2016-07-29,-1.1348
2016-08-01,0.135
2016-08-02,-1.7532
2016-08-03,1.3727
2016-08-04,-0.5416
2016-08-05,5.8543
2016-08-08,-2.0579
2016-08-09,2.9547
2016-08-10,-1.148
2016-08-11,2.5806
2016-08-12,1.5951
2016-08-15,-3.2415
2016-08-16,2.9431000000000003
2016-08-17,1.8024
2016-08-18,-2.8693999999999997
2016-08-19,-0.6914
2016-08-22,2.7848
2016-08-23,8.0665
2016-08-24,8.1481
2016-08-25,-0.5796
2016-08-26,-0.265
2016-08-29,0.9564
2016-08-30,-3.2105
2016-08-31,-1.0875
2016-09-01,3.7933
2016-09-02,0.5297
2016-09-06,-6.7966
2016-09-07,0.2261
2016-09-08,-0.846
2016-09-09,-4.8919
2016-09-12,-2.0933
2016-09-13,5.62
2016-09-14,6.7091
