ticker,DSWL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.2258
2000-01-04,-3.125
2000-01-05,5.6452
2000-01-06,-4.5802
2000-01-07,0.0
2000-01-10,0.8
2000-01-11,0.0
2000-01-12,1.5873
2000-01-13,6.25
2000-01-14,-5.8824
2000-01-18,9.375
2000-01-19,-3.9286
2000-01-20,-6.3197
2000-01-21,1.5873
2000-01-24,-0.3906
2000-01-25,0.3922
2000-01-26,0.0
2000-01-27,-0.7812
2000-01-28,0.0
2000-01-31,-0.7874
2000-02-01,0.0
2000-02-02,1.5873
2000-02-03,-1.9531
2000-02-04,0.3984
2000-02-07,1.5873
2000-02-08,3.125
2000-02-09,-4.5455
2000-02-10,7.1429
2000-02-11,0.7407
2000-02-14,-3.6765
2000-02-15,1.5267
2000-02-16,-1.5038
2000-02-17,3.8167999999999997
2000-02-18,0.0
2000-02-22,0.0
2000-02-23,-2.9412000000000003
2000-02-24,-3.0303
2000-02-25,-2.3438
2000-02-28,-0.8
2000-02-29,-4.0323
2000-03-01,5.8824
2000-03-02,0.0
2000-03-03,-7.1429
2000-03-06,5.9829
2000-03-07,-1.2097
2000-03-08,-2.0408
2000-03-09,0.0
2000-03-10,-0.4167
2000-03-13,-4.6025
2000-03-14,0.8772
2000-03-15,0.8696
2000-03-16,-1.7241
2000-03-17,0.0
2000-03-20,5.2632
2000-03-21,0.0
2000-03-22,0.0
2000-03-23,-2.9167
2000-03-24,-2.1459
2000-03-27,5.2632
2000-03-28,0.0
2000-03-29,0.8333
2000-03-30,-4.9587
2000-03-31,2.6087
2000-04-03,-3.8136
2000-04-04,2.2026
2000-04-05,-1.7241
2000-04-06,4.386
2000-04-07,-0.4202
2000-04-10,-3.7975
2000-04-11,3.0702
2000-04-12,2.1277
2000-04-13,-4.1667
2000-04-14,-1.7391
2000-04-17,0.0
2000-04-18,2.6549
2000-04-19,0.0
2000-04-20,2.1552
2000-04-24,-2.9536
2000-04-25,-0.8696
2000-04-26,0.0
2000-04-27,0.8772
2000-04-28,-1.3043
2000-05-01,9.2511
2000-05-02,0.0
2000-05-03,-1.6129
2000-05-05,6.1475
2000-05-08,-5.7915
2000-05-09,2.0492
2000-05-10,-4.0161
2000-05-11,0.0
2000-05-12,0.8368
2000-05-15,0.4149
2000-05-16,2.4793
2000-05-17,0.0
2000-05-18,-2.0161
2000-05-19,-2.8807
2000-05-22,4.2373
2000-05-23,-2.439
2000-05-24,0.8333
2000-05-25,-0.4132
2000-05-26,0.4149
