ticker,NTCHF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-12-31,0.0
2014-01-14,0.0
2014-01-28,-23.0769
2014-02-28,-20.0
2014-03-07,52.5
2014-03-12,-1.6393
2014-03-18,-83.3333
2014-03-19,0.0
2014-03-20,0.0
2014-03-21,100.0
2014-03-24,0.0
2014-03-25,15.0
2014-03-26,0.0
2014-03-27,8.6957
2014-03-28,-10.5
2014-03-31,-24.0223
2014-04-01,17.647100000000002
2014-04-02,10.0
2014-04-03,-9.0909
2014-04-04,-20.0
2014-04-07,-18.75
2014-04-08,-23.0769
2014-04-09,38.125
2014-04-10,-27.6018
2014-04-11,60.0
2014-04-14,-18.75
2014-04-15,26.9231
2014-04-16,-21.2121
2014-04-17,19.2308
2014-04-21,-0.8065
2014-04-22,-30.4878
2014-04-23,-9.9415
2014-04-24,5.1948
2014-04-25,-1.2346
2014-04-28,-10.0
2014-04-29,-11.1111
2014-04-30,12.5
2014-05-01,-44.4444
2014-05-02,10.0
2014-05-05,0.0
2014-05-06,0.0
2014-05-09,0.0
2014-05-12,27.2727
2014-05-13,26.7857
2014-05-14,12.6761
2014-05-15,-30.0
2014-05-16,28.5714
2014-05-19,-22.2222
2014-05-20,-35.7143
2014-05-21,11.1111
2014-05-22,-40.0
2014-05-23,50.0
2014-05-27,11.1111
2014-05-28,-20.0
2014-05-29,-12.5
2014-05-30,-14.2857
2014-06-02,29.1667
2014-06-04,-17.7419
2014-06-06,21.5686
2014-06-09,3.2258
2014-06-10,25.0
2014-06-11,0.0
2014-06-16,0.0
2014-06-17,0.0
2014-06-18,-40.0
2014-06-19,66.6667
2014-06-23,0.0
2014-06-24,-10.0
2014-06-25,30.5556
2014-06-26,-8.5106
2014-06-27,0.0
2014-06-30,11.6279
2014-07-01,0.0
2014-07-02,-16.6667
2014-07-03,20.0
2014-07-07,-16.6667
2014-07-08,0.0
2014-07-09,0.0
2014-07-10,-77.5
2014-07-11,300.0
2014-07-14,-33.3333
2014-07-15,33.3333
2014-07-16,20.3125
2014-07-17,-33.7662
2014-07-18,5.8824
2014-07-21,0.0
2014-07-22,-11.1111
2014-07-23,0.0
2014-07-24,4.1667
2014-07-25,-4.0
2014-07-28,16.6667
2014-07-30,-42.8571
2014-07-31,0.0
2014-08-01,0.0
2014-08-04,0.0
2014-08-05,50.0
2014-08-06,-4.1667
2014-08-07,4.3478
2014-08-08,-20.8333
2014-08-11,-15.7895
2014-08-12,-25.0
2014-08-13,25.0
2014-08-14,-40.0
