ticker,CTGO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-12-21,65.0
2010-12-22,26.2626
2010-12-23,-2.0
2010-12-27,-10.2041
2010-12-28,6.8182
2010-12-29,-3.8298
2010-12-30,-4.8673
2010-12-31,-2.3256
2011-01-03,-4.7619
2011-01-04,-10.0
2011-01-05,-2.7778
2011-01-06,-14.2857
2011-01-07,6.0
2011-01-10,-0.6289
2011-01-11,10.7595
2011-01-12,0.0
2011-01-13,5.7143
2011-01-14,5.4054
2011-01-18,33.3333
2011-01-19,5.7692
2011-01-20,-12.6545
2011-01-21,-0.0833
2011-01-24,-8.3333
2011-01-25,-6.8182
2011-01-26,-4.878
2011-01-27,-0.5128
2011-01-28,0.1031
2011-01-31,-2.1627
2011-02-01,11.5789
2011-02-02,-3.3019
2011-02-03,12.1951
2011-02-04,-12.9565
2011-02-07,14.985
2011-02-08,4.2572
2011-02-09,-8.3333
2011-02-10,4.5455
2011-02-11,0.0
2011-02-14,0.087
2011-02-15,8.6012
2011-02-16,4.0
2011-02-17,30.7692
2011-02-18,-17.5294
2011-02-22,21.2553
2011-02-23,0.0
2011-02-24,0.0
2011-02-25,0.1176
2011-02-28,14.5711
2011-03-01,-7.6923
2011-03-02,0.0
2011-03-03,5.5556
2011-03-04,0.0
2011-03-07,-2.6316
2011-03-08,0.0
2011-03-09,-8.0541
2011-03-10,5.8201
2011-03-11,-5.5556
2011-03-14,0.0
2011-03-15,-11.7647
2011-03-16,13.3333
2011-03-17,-2.9412000000000003
2011-03-18,6.0606
2011-03-21,0.0
2011-03-22,-7.4286
2011-03-23,1.8519
2011-03-24,6.0606
2011-03-25,1.1429
2011-03-29,-3.9548
2011-03-30,0.0
2011-03-31,8.7647
2011-04-01,0.0541
2011-04-04,0.0
2011-04-05,0.0
2011-04-06,-6.7027
2011-04-07,0.0
2011-04-08,4.2874
2011-04-11,2.7778
2011-04-12,-8.0541
2011-04-13,1.4109
2011-04-14,1.5072
2011-04-15,-1.4849
2011-04-18,0.0
2011-04-19,1.5072
2011-04-20,-1.1421999999999999
2011-04-21,-0.0578
2011-04-25,0.0578
2011-04-26,0.5199
2011-04-27,0.0
2011-04-28,3.4483
2011-04-29,-3.3333
2011-05-02,0.0
2011-05-03,0.0
2011-05-04,3.4483
2011-05-05,-3.5556
2011-05-09,-5.53
2011-05-10,-8.5366
2011-05-11,7.6192
2011-05-12,-7.0797
2011-05-13,-3.3333
2011-05-17,9.6552
2011-05-18,1.2579
2011-05-19,-6.4596
