ticker,HCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-04-13,-5.2632
2017-04-17,5.5556
2017-04-18,-2.8421
2017-04-19,-0.8667
2017-04-20,1.5301
2017-04-21,-0.915
2017-04-24,1.6295
2017-04-25,-2.2982
2017-04-26,0.93
2017-04-27,-2.439
2017-04-28,0.4444
2017-05-01,-0.4425
2017-05-02,2.0
2017-05-03,-1.9607999999999999
2017-05-04,-2.6667
2017-05-05,0.3425
2017-05-08,-0.7964
2017-05-09,-3.0963
2017-05-10,2.0118
2017-05-11,-0.522
2017-05-12,-0.8746
2017-05-15,2.7058999999999997
2017-05-16,-2.6919
2017-05-17,0.3531
2017-05-18,0.5279
2017-05-19,3.6173
2017-05-22,2.4775
2017-05-23,-1.6484
2017-05-24,-0.9497
2017-05-25,-1.9741
2017-05-26,-1.2118
2017-05-30,1.285
2017-05-31,-1.4418
2017-06-01,3.8619
2017-06-02,-3.0423
2017-06-05,0.6973
2017-06-06,0.8656
2017-06-07,-2.5744
2017-06-08,2.4074999999999998
2017-06-09,0.2294
2017-06-12,-0.1716
2017-06-13,-1.6619000000000002
2017-06-14,0.8159
2017-06-15,-2.948
2017-06-16,-5.539
2017-06-19,-0.6936
2017-06-20,-1.5873
2017-06-21,-0.0645
2017-06-22,4.1317
2017-06-23,0.806
2017-06-26,-0.4305
2017-06-27,0.5559
2017-06-28,4.1155
2017-06-29,0.767
2017-06-30,0.2927
2017-07-03,1.1092
2017-07-05,2.6559
2017-07-06,-0.2812
2017-07-07,-0.3948
2017-07-10,1.5289000000000001
2017-07-11,3.6252
2017-07-12,1.2917
2017-07-13,-0.3719
2017-07-14,0.1067
2017-07-17,4.5818
2017-07-18,0.5604
2017-07-19,-0.9625
2017-07-20,-0.665
2017-07-21,-0.5664
2017-07-24,-1.6054
2017-07-25,5.0
2017-07-26,2.2556
2017-07-27,1.3725
2017-07-28,2.7079
2017-07-31,2.919
2017-08-01,1.7841
2017-08-02,1.4382
2017-08-03,-3.1458
2017-08-04,9.9726
2017-08-07,2.5789999999999997
2017-08-08,-0.9732
2017-08-09,0.0
2017-08-10,-2.6208
2017-08-11,-2.3599
2017-08-14,4.8338
2017-08-15,-1.3174000000000001
2017-08-16,2.7117
2017-08-17,-1.8277999999999999
2017-08-18,0.2896
2017-08-21,0.0
2017-08-22,3.2178
2017-08-23,3.757
2017-08-24,0.6163
2017-08-25,1.9908000000000001
2017-08-28,0.9384
2017-08-29,0.6694
2017-08-30,-0.3694
2017-08-31,1.1865
