ticker,RBKB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-01-17,17.5
2019-01-18,-1.1745
2019-01-22,1.7050999999999998
2019-01-23,0.7621
2019-01-24,-2.6891
2019-01-25,0.4318
2019-01-28,0.4299
2019-01-29,0.6849
2019-01-30,-0.5952
2019-01-31,-0.8152
2019-02-01,-0.0405
2019-02-04,-0.604
2019-02-05,0.2604
2019-02-06,-0.6061
2019-02-07,-0.6533
2019-02-08,0.3069
2019-02-11,1.6608
2019-02-12,-0.6019
2019-02-13,0.2595
2019-02-14,0.0863
2019-02-15,0.1724
2019-02-19,1.0327
2019-02-20,-0.5111
2019-02-21,0.4281
2019-02-22,0.5968
2019-02-25,0.0
2019-02-26,0.4237
2019-02-27,0.4219
2019-02-28,-0.5538
2019-03-01,0.3879
2019-03-04,-1.0943
2019-03-05,1.0213
2019-03-06,-0.9267
2019-03-07,-0.5102
2019-03-08,0.7692
2019-03-11,-1.1874
2019-03-12,0.8584
2019-03-13,0.5106
2019-03-14,1.8628
2019-03-15,-5.5694
2019-03-18,6.9542
2019-03-19,-0.5761
2019-03-20,0.4967
2019-03-21,-1.9769
2019-03-22,0.8403
2019-03-25,-2.9167
2019-03-26,0.4292
2019-03-27,0.0
2019-03-28,0.8547
2019-03-29,1.6949
2019-04-01,0.4167
2019-04-02,-0.8299
2019-04-03,0.4184
2019-04-04,0.0
2019-04-05,-1.5833
2019-04-08,0.9314
2019-04-09,-0.2936
2019-04-10,0.1262
2019-04-11,-0.2521
2019-04-12,-0.4212
2019-04-15,-0.846
2019-04-16,0.256
2019-04-17,-0.766
2019-04-18,2.2298
2019-04-23,-1.0067
2019-04-24,-1.2711999999999999
2019-04-25,0.0858
2019-04-26,1.1149
2019-04-29,-0.4241
2019-04-30,-0.3407
2019-05-01,0.4274
2019-05-03,-0.4255
2019-05-06,-0.4274
2019-05-07,0.2575
2019-05-08,0.0856
2019-05-09,0.0855
2019-05-10,0.0
2019-05-13,-0.1709
2019-05-14,-0.2568
2019-05-15,0.3433
2019-05-16,-2.6518
2019-05-17,2.2847
2019-05-20,-3.1787
2019-05-21,-0.4437
2019-05-22,0.0891
2019-05-23,-0.7124
2019-05-24,-0.8072
2019-05-28,-0.2712
2019-05-29,-0.9066
2019-05-30,-1.3724
2019-05-31,0.1855
2019-06-03,4.4444
2019-06-04,-3.1028000000000002
2019-06-05,0.0915
2019-06-06,-0.6399
2019-06-07,0.0
2019-06-10,-0.184
2019-06-11,0.5005
2019-06-12,-0.9565
