ticker,SNDZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-10-22,0.0
2009-10-23,0.0
2009-10-27,1.9048
2009-10-29,-1.8692
2009-11-02,0.0
2009-11-03,0.0
2009-11-10,0.0
2009-11-11,0.0
2009-11-12,0.0
2009-12-02,4.7619
2009-12-08,0.0
2009-12-10,2.7273
2009-12-14,0.0
2009-12-15,0.0
2010-01-05,0.0
2010-01-11,0.0
2010-01-12,0.885
2010-01-13,5.2632
2010-01-14,6.6667
2010-01-15,9.375
2010-01-19,0.0
2010-01-20,8.5714
2010-01-21,1.9737
2010-01-22,0.0
2010-01-25,29.0323
2010-01-26,-15.0
2010-01-27,0.0
2010-01-28,8.8235
2010-01-29,-5.4054
2010-02-01,8.5714
2010-02-02,-5.2632
2010-02-03,-1.1111
2010-02-04,-1.6854
2010-02-05,8.5714
2010-02-08,-7.8947
2010-02-09,5.1429
2010-02-10,-10.8696
2010-02-11,3.6585
2010-02-12,-8.8235
2010-02-16,-3.2258
2010-02-17,-6.6667
2010-02-18,0.0
2010-02-19,-27.8571
2010-02-22,-40.5941
2010-02-23,33.3333
2010-02-24,-12.5
2010-02-25,0.0
2010-02-26,14.2857
2010-03-01,-12.5
2010-03-02,-4.2857
2010-03-03,-2.9851
2010-03-04,-1.5385
2010-03-05,-14.0625
2010-03-08,1.8182
2010-03-09,-21.4286
2010-03-10,9.0909
2010-03-11,-16.6667
2010-03-12,2.5
2010-03-15,-2.439
2010-03-16,7.5
2010-03-17,16.2791
2010-03-18,-2.0
2010-03-19,4.0816
2010-03-22,-11.7647
2010-03-23,20.0
2010-03-24,-20.3704
2010-03-25,-11.6279
2010-03-29,5.2632
2010-03-30,0.0
2010-03-31,0.0
2010-04-01,0.0
2010-04-05,12.5
2010-04-06,8.8889
2010-04-07,-28.5714
2010-04-08,8.5714
2010-04-09,-2.6316
2010-04-12,-18.9189
2010-04-14,-16.6667
2010-04-15,0.0
2010-04-16,15.2
2010-04-19,4.1667
2010-04-20,-16.6667
2010-04-21,12.0
2010-04-22,25.0
2010-04-23,0.0
2010-04-26,14.2857
2010-04-28,0.0
2010-04-29,-12.5
2010-04-30,-17.1429
2010-05-03,13.7931
2010-05-04,36.3636
2010-05-05,0.0
2010-05-06,-15.5556
2010-05-07,15.7895
2010-05-10,-4.5455
2010-05-13,9.5238
2010-05-14,0.0
2010-05-17,-34.7826
2010-05-21,16.6667
2010-05-24,-40.0
2010-05-25,66.6667
2010-05-26,0.0
2010-05-27,-25.7143
