ticker,PLNE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-10-20,-99.976
2006-01-31,11.1111
2006-03-06,0.0
2006-03-07,0.0
2006-03-08,0.0
2006-03-17,0.0
2006-03-27,-10.0
2006-04-07,38.8889
2006-04-12,0.0
2006-04-20,-20.0
2006-05-09,-75.0
2006-05-31,-80.0
2006-06-01,0.0
2006-06-05,-98.75
2006-06-08,39900.0
2006-06-12,-98.0
2006-06-16,900.0
2006-06-19,0.0
2006-06-26,0.0
2006-06-29,-98.75
2006-07-07,7900.0
2006-07-28,-90.0
2006-08-07,-87.5
2006-09-14,3900.0
2006-09-20,0.0
2006-10-20,-97.5
2006-10-24,700.0
2006-10-30,-87.5
2006-11-02,700.0
2006-11-20,-87.5
2006-12-01,700.0
2006-12-12,0.0
2006-12-14,0.0
2006-12-18,-87.5
2006-12-27,0.0
2006-12-28,0.0
2006-12-29,0.0
2007-01-03,0.0
2007-01-10,0.0
2007-01-31,0.0
2007-02-09,0.0
2007-02-15,0.0
2007-02-23,0.0
2007-03-05,0.0
2007-03-30,0.0
2007-04-10,0.0
2007-04-30,0.0
2007-05-17,0.0
2007-06-07,0.0
2007-06-18,0.0
2007-07-18,0.0
2007-09-12,0.0
2007-12-03,0.0
2008-01-11,700.0
2008-02-01,0.0
2008-02-25,-87.5
2008-03-05,0.0
2008-04-03,0.0
2008-08-21,0.0
2008-08-26,0.0
2008-11-03,0.0
2008-11-04,0.0
2008-11-10,0.0
2010-05-17,0.0
2017-05-10,700.0
2017-07-26,-93.7
2017-08-22,1487.3016
2017-12-15,0.0
2018-02-02,0.0
2018-12-06,-99.9
2019-01-25,0.0
2019-02-20,0.0
2019-02-25,0.0
2019-03-11,900.0
2019-05-14,-90.0
2019-05-15,900.0
2019-05-16,0.0
2019-09-17,-90.0
2019-12-10,9900.0
2020-01-07,0.0
2020-03-11,-99.0
2020-05-07,0.0
2020-07-23,900.0
