ticker,OLED US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,11.194
2000-01-04,-11.745
2000-01-05,1.1407
2000-01-06,-4.1353
2000-01-07,5.4902
2000-01-10,-4.461
2000-01-11,-11.284
2000-01-12,-8.3333
2000-01-13,-3.3493
2000-01-14,5.9406
2000-01-18,4.6729
2000-01-19,-2.6786
2000-01-20,2.7523
2000-01-21,-0.8929
2000-01-24,5.4054
2000-01-25,17.5214
2000-01-26,-1.8182
2000-01-27,1.4815
2000-01-28,-8.7591
2000-01-31,-8.4
2000-02-01,5.6769
2000-02-02,10.7438
2000-02-03,-2.2388
2000-02-04,-5.7252
2000-02-07,-2.834
2000-02-08,-0.8333
2000-02-09,-5.2521
2000-02-10,7.3171
2000-02-11,-1.6529
2000-02-14,-1.6806999999999999
2000-02-15,-1.7094
2000-02-16,0.8696
2000-02-17,-2.5862
2000-02-18,1.7699
2000-02-22,0.0
2000-02-23,-0.8696
2000-02-24,1.7544
2000-02-25,-2.5862
2000-02-28,-1.3274
2000-02-29,40.3587
2000-03-01,-7.3482
2000-03-02,13.1034
2000-03-03,39.0244
2000-03-06,20.1754
2000-03-07,-12.4088
2000-03-08,-5.0
2000-03-09,16.6667
2000-03-10,-6.7669
2000-03-13,3.2258
2000-03-14,-6.25
2000-03-15,-6.6667
2000-03-16,-3.5714
2000-03-17,7.8704
2000-03-20,0.8584
2000-03-21,0.4255
2000-03-22,-5.0847
2000-03-23,2.2321
2000-03-24,9.1703
2000-03-27,0.8
2000-03-28,-7.5397
2000-03-29,-5.5794
2000-03-30,-9.7727
2000-03-31,0.2519
2000-04-03,-12.5628
2000-04-04,-12.6437
2000-04-05,-0.9868
2000-04-06,22.2591
2000-04-07,-3.2609
2000-04-10,-3.3708
2000-04-11,-8.1395
2000-04-12,-8.8608
2000-04-13,-2.7778
2000-04-14,-20.0
2000-04-17,-1.7856999999999998
2000-04-18,21.8182
2000-04-19,1.1194
2000-04-20,7.0111
2000-04-24,-6.5517
2000-04-25,1.845
2000-04-26,-2.8986
2000-04-27,-0.7463
2000-04-28,7.5188
2000-05-01,1.3986
2000-05-02,0.3448
2000-05-03,-8.5911
2000-05-04,-0.7519
2000-05-05,-2.2727
2000-05-08,-3.4884
2000-05-09,-2.008
2000-05-10,-9.8361
2000-05-11,0.0
2000-05-12,-1.3636
2000-05-15,1.3825
2000-05-16,2.7273
2000-05-17,-0.885
2000-05-18,-1.7856999999999998
2000-05-19,-1.8182
2000-05-22,-8.3333
