ticker,FEWP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-11-19,72.3077
2009-11-20,20.5357
2009-11-23,-4.4444
2009-11-24,-0.7752
2009-11-25,-2.3438
2009-11-27,-6.4
2009-11-30,4.2735
2009-12-01,-7.377
2009-12-02,2.6549
2009-12-03,-2.5862
2009-12-04,-0.885
2009-12-07,-9.8214
2009-12-08,3.9604
2009-12-09,-4.7619
2009-12-10,5.0
2009-12-11,4.7619
2009-12-14,5.4545
2009-12-15,3.4483
2009-12-16,-2.5
2009-12-17,-0.8547
2009-12-18,0.0
2009-12-21,-0.8621
2009-12-22,0.0
2009-12-23,2.6087
2009-12-28,-2.5423999999999998
2009-12-29,0.0
2009-12-30,0.0
2009-12-31,4.3478
2010-01-04,11.6667
2010-01-05,-0.7463
2010-01-06,5.2632
2010-01-07,-6.4286
2010-01-08,2.2901
2010-01-11,3.7313
2010-01-12,-5.036
2010-01-13,-1.5152
2010-01-14,0.7692
2010-01-15,-3.0534
2010-01-19,-5.5118
2010-01-20,0.0
2010-01-21,4.1667
2010-01-22,-2.4
2010-01-25,2.459
2010-01-26,0.0
2010-01-27,4.0
2010-01-28,0.0
2010-01-29,3.8462
2010-02-01,0.0
2010-02-02,1.4815
2010-02-03,-1.4599
2010-02-04,10.3704
2010-02-05,0.6711
2010-02-08,-4.0
2010-02-09,-6.25
2010-02-10,8.1481
2010-02-11,0.0
2010-02-12,-0.6849
2010-02-16,-3.4483
2010-02-17,0.0
2010-02-18,-10.7143
2010-02-19,3.2
2010-02-22,-6.2016
2010-02-23,-2.4793
2010-02-24,1.6949
2010-02-25,0.0
2010-02-26,0.0
2010-03-01,-3.3333
2010-03-02,3.4483
2010-03-03,0.8333
2010-03-04,0.8264
2010-03-05,4.0984
2010-03-08,3.1496
2010-03-09,8.3969
2010-03-10,-4.9296
2010-03-11,0.0
2010-03-12,0.0
2010-03-15,-7.4074
2010-03-16,-9.6
2010-03-17,-6.1947
2010-03-18,7.8302
2010-03-19,-5.5118
2010-03-22,7.4074
2010-03-23,0.0
2010-03-24,-0.8621
2010-03-25,0.8696
2010-03-26,-2.5862
2010-03-29,6.1947
2010-03-30,0.8333
2010-03-31,-0.8264
2010-04-01,5.8333
2010-04-05,-1.5748
2010-04-06,-11.2
2010-04-07,1.2612999999999999
2010-04-08,4.0925
2010-04-09,0.8547
2010-04-12,0.8475
2010-04-13,-6.7227
2010-04-14,0.9009
2010-04-15,0.8929
2010-04-16,4.4248
2010-04-19,-6.7797
