ticker,KEGX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-19,16.8831
2016-12-20,1.5556
2016-12-21,0.3439
2016-12-22,-0.4984
2016-12-23,3.3186999999999998
2016-12-27,0.7576
2016-12-28,-1.203
2016-12-29,-1.0654
2016-12-30,-1.6923
2017-01-03,0.7825
2017-01-04,4.5652
2017-01-05,-0.0891
2017-01-06,7.0749
2017-01-09,-0.3054
2017-01-10,4.567
2017-01-11,-0.9321
2017-01-12,-0.672
2017-01-13,-1.2991
2017-01-17,1.3436
2017-01-18,0.3788
2017-01-19,-1.752
2017-01-20,0.7956
2017-01-23,-4.0011
2017-01-24,-1.9847000000000001
2017-01-25,-4.9754000000000005
2017-01-26,2.7397
2017-01-27,-1.8963
2017-01-30,-0.5134
2017-01-31,2.459
2017-02-01,-2.4889
2017-02-02,-2.0662
2017-02-03,4.6851
2017-02-06,2.0747
2017-02-07,-2.3810000000000002
2017-02-08,-0.8626
2017-02-09,-0.21
2017-02-10,-1.7438
2017-02-13,0.0918
2017-02-14,3.1489
2017-02-15,0.741
2017-02-16,-0.559
2017-02-17,-0.1775
2017-02-21,-0.2371
2017-02-22,-0.921
2017-02-23,-4.048
2017-02-24,-2.4375
2017-02-27,2.082
2017-02-28,-2.4474
2017-03-01,-1.3831
2017-03-02,-6.2296
2017-03-03,-5.1478
2017-03-06,-1.2468
2017-03-07,4.0475
2017-03-08,-4.3897
2017-03-09,-5.4498
2017-03-10,0.7106
2017-03-13,-1.0192
2017-03-14,-2.8515
2017-03-15,0.1631
2017-03-16,-0.2849
2017-03-17,3.8776
2017-03-20,-4.2436
2017-03-21,-2.5031
2017-03-22,-3.5354
2017-03-23,-2.9232
2017-03-24,-3.191
2017-03-27,4.3175
2017-03-28,0.6676
2017-03-29,4.1556
2017-03-30,-1.9949
2017-03-31,0.563
2017-04-03,-2.7132
2017-04-04,-0.0885
2017-04-05,2.0824
2017-04-06,6.2934
2017-04-07,2.6541
2017-04-10,0.1193
2017-04-11,-0.2781
2017-04-12,-2.1116
2017-04-13,-3.2153
2017-04-17,-1.8923
2017-04-18,-0.5572
2017-04-19,-4.3534
2017-04-20,2.2983000000000002
2017-04-21,-0.837
2017-04-24,1.7770000000000001
2017-04-25,-1.3531
2017-04-26,2.8319
2017-04-27,3.3133
2017-04-28,-1.3744
2017-05-01,-1.9003
2017-05-02,2.2385
2017-05-03,3.4947
2017-05-04,-6.7941
2017-05-05,0.9603
2017-05-08,0.0
2017-05-09,-0.8214
