ticker,NTLA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-05-06,22.7778
2016-05-09,8.5973
2016-05-10,7.2917
2016-05-11,-1.9417
2016-05-12,-6.7722999999999995
2016-05-13,-0.6372
2016-05-16,6.7978
2016-05-17,5.2442
2016-05-18,5.3252
2016-05-19,-4.1531
2016-05-20,2.2607
2016-05-23,4.2373
2016-05-24,1.8735
2016-05-25,1.1103
2016-05-26,-0.4804
2016-05-27,1.7241
2016-05-31,0.2373
2016-06-01,-1.488
2016-06-02,-2.5403000000000002
2016-06-03,1.4442
2016-06-06,1.6493
2016-06-07,-2.6132
2016-06-08,-0.5612
2016-06-09,-4.6914
2016-06-10,0.074
2016-06-13,-1.5901999999999998
2016-06-14,0.5261
2016-06-15,-1.1963
2016-06-16,0.4919
2016-06-17,2.0331
2016-06-20,1.8819
2016-06-21,-4.5636
2016-06-22,0.7211
2016-06-23,-0.3014
2016-06-24,-1.096
2016-06-27,-4.9675
2016-06-28,-1.1259000000000001
2016-06-29,-7.6861
2016-06-30,-5.9471
2016-07-01,-1.5457
2016-07-05,-5.5186
2016-07-06,-3.3233
2016-07-07,-0.9896
2016-07-08,2.6302
2016-07-11,2.1527
2016-07-12,-1.2544
2016-07-13,-4.3699
2016-07-14,-2.8162000000000003
2016-07-15,-3.2258
2016-07-18,-0.113
2016-07-19,-2.2624
2016-07-20,3.6458
2016-07-21,7.8169
2016-07-22,-4.1947
2016-07-25,0.5405
2016-07-26,-5.5376
2016-07-27,5.0085
2016-07-28,2.71
2016-07-29,-0.1583
2016-08-01,-1.9026999999999998
2016-08-02,-3.2866
2016-08-03,-1.337
2016-08-04,-0.2823
2016-08-05,14.3262
2016-08-08,-4.0614
2016-08-09,-3.1492
2016-08-10,-4.4776
2016-08-11,-0.279
2016-08-12,2.6301
2016-08-15,3.2715
2016-08-16,14.5195
2016-08-17,6.7312
2016-08-18,-1.5551
2016-08-19,-2.1501
2016-08-22,1.0762
2016-08-23,8.6957
2016-08-24,-13.9592
2016-08-25,0.3795
2016-08-26,-1.087
2016-08-29,-4.8734
2016-08-30,0.9543
2016-08-31,-3.2338
2016-09-01,2.1593999999999998
2016-09-02,-0.302
2016-09-06,-0.2524
2016-09-07,0.4049
2016-09-08,9.879
2016-09-09,-3.2569
2016-09-12,-2.0389
2016-09-13,-4.1626
2016-09-14,2.9798
2016-09-15,-3.1878
2016-09-16,-0.1013
2016-09-19,-3.3468999999999998
2016-09-20,1.1542
2016-09-21,-3.0083
