ticker,WMG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-03,20.48
2020-06-04,-0.3984
2020-06-05,-0.2
2020-06-08,3.5404
2020-06-09,3.2258
2020-06-10,-2.9688
2020-06-11,-3.4138
2020-06-12,2.6009
2020-06-15,4.2899
2020-06-16,-0.3428
2020-06-17,1.8136
2020-06-18,0.4914
2020-06-19,0.4279
2020-06-22,-2.6475999999999997
2020-06-23,-2.0006
2020-06-24,-0.0638
2020-06-25,-2.33
2020-06-26,-0.4248
2020-06-29,3.1506
2020-06-30,-6.1406
2020-07-01,-0.1695
2020-07-02,-0.3396
2020-07-06,1.4990999999999999
2020-07-07,-0.5035
2020-07-08,1.1471
2020-07-09,0.0667
2020-07-10,2.9333
2020-07-13,-2.5583
2020-07-14,-1.4955
2020-07-15,-0.0337
2020-07-16,0.2025
2020-07-17,-0.9094
2020-07-20,-1.5976
2020-07-21,-1.5716999999999999
2020-07-22,-2.3688000000000002
2020-07-23,1.8332000000000002
2020-07-24,0.0353
2020-07-27,1.0939
2020-07-28,3.0366
2020-07-29,1.6599
2020-07-30,-0.3332
2020-07-31,0.8024
