ticker,MSGS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-09-18,-7.1111
2015-09-21,-0.6519
2015-09-22,-2.2907
2015-09-25,-5.5975
2015-09-28,-2.5715
2015-09-30,1.1522000000000001
2015-10-01,5.6225000000000005
2015-10-02,7.5303
2015-10-05,1.2595
2015-10-06,-0.0518
2015-10-07,-1.5556
2015-10-08,-0.2458
2015-10-09,0.9152
2015-10-12,0.2907
2015-10-13,2.2781000000000002
2015-10-14,-0.7991
2015-10-15,4.3764
2015-10-16,-3.0708
2015-10-19,-2.2363
2015-10-20,1.3286
2015-10-21,-0.456
2015-10-22,0.6128
2015-10-23,2.4247
2015-10-26,1.0392
2015-10-27,-0.0165
2015-10-28,0.2145
2015-10-29,-0.1757
2015-10-30,-1.8476
2015-11-02,-0.4426
2015-11-03,-2.1102
2015-11-04,-0.7875
2015-11-05,-1.6629
2015-11-06,0.2534
2015-11-09,1.8866
2015-11-10,0.0058
2015-11-11,0.0634
2015-11-12,-1.9195
2015-11-13,-0.1175
2015-11-16,1.0415
2015-11-17,-0.3086
2015-11-18,-0.9054
2015-11-19,-1.6447
2015-11-20,-0.6533
2015-11-23,0.9954
2015-11-24,-1.0155
2015-11-25,-0.4405
2015-11-27,0.497
2015-11-30,-2.0145
2015-12-01,1.3788
2015-12-02,-0.6557
2015-12-03,-1.0573
2015-12-04,0.0679
2015-12-07,-1.321
2015-12-08,-1.47
2015-12-09,0.4889
2015-12-10,-0.1769
2015-12-11,0.2911
2015-12-14,1.2558
2015-12-15,2.4556
2015-12-16,0.6874
2015-12-17,-0.6404
2015-12-18,-2.0795
2015-12-21,-1.7263
2015-12-22,1.289
2015-12-23,0.8734
2015-12-24,-0.3587
2015-12-28,-0.5958
2015-12-29,1.1301
2015-12-30,-1.0928
2015-12-31,0.9988
2016-01-04,-4.7899
2016-01-05,0.2921
2016-01-06,1.0291
2016-01-07,-1.0058
2016-01-08,-0.4401
2016-01-11,0.351
2016-01-12,-0.4599
2016-01-13,-2.3557
2016-01-14,-0.953
2016-01-15,-0.8276
2016-01-19,0.2442
2016-01-20,-0.7174
2016-01-21,0.3204
2016-01-22,2.9628
2016-01-25,-0.0066
2016-01-26,0.5016
2016-01-27,-0.8406
2016-01-28,0.3113
2016-01-29,1.7298
2016-02-01,-0.2531
2016-02-02,-2.6417
2016-02-03,0.2473
2016-02-04,0.1133
2016-02-05,-1.3317999999999999
2016-02-08,-4.839
2016-02-09,3.4965
2016-02-10,0.5756
2016-02-11,3.5225
