ticker,IDDR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-03-09,-7.5
2016-03-10,8.1081
2016-04-01,7.5
2016-04-11,4.6512
2016-04-12,-11.1111
2016-04-13,10.0
2016-04-14,0.0
2016-04-29,-65.9091
2016-05-02,0.0833
2016-05-10,39.8834
2016-05-11,-4.7619
2016-05-12,12.6875
2016-05-16,6.4892
2016-05-17,0.0
2016-05-18,4.1667
2016-05-19,3.55
2016-05-20,-2.8247
2016-05-23,-0.6211
2016-05-24,-3.2
2016-05-25,5.3719
2016-05-26,0.0
2016-05-27,1.9607999999999999
2016-05-31,1.5385
2016-06-01,4.1667
2016-06-02,-3.6364
2016-06-03,9.0566
2016-06-06,-3.1142
2016-06-07,6.4286
2016-06-08,20.8054
2016-06-09,5.2778
2016-06-10,-28.759900000000002
2016-06-13,-9.2593
2016-06-14,12.2449
2016-06-15,-9.0909
2016-06-16,8.0
2016-06-17,-25.9259
2016-06-20,35.0
2016-06-21,0.0
2016-06-22,-2.1528
2016-06-23,-5.7488
2016-06-24,-0.0502
2016-06-27,-5.0226
2016-06-28,-2.697
2016-06-29,-13.0435
2016-06-30,-2.5
2016-07-01,2.5641
2016-07-05,7.5
2016-07-06,12.5581
2016-07-07,2.531
2016-07-08,0.3526
2016-07-11,-1.6064
2016-07-12,20.4082
2016-07-13,4.9153
2016-07-14,1.7771
2016-07-15,-0.5357
2016-07-18,-13.8241
2016-07-19,14.8148
2016-07-20,-3.871
2016-07-21,-9.396
2016-07-22,0.0
2016-07-25,-11.0417
2016-07-26,-12.5683
2016-07-27,28.5714
2016-07-28,-5.5786999999999995
2016-07-29,0.4658
2016-08-01,-2.3914
2016-08-02,-11.45
2016-08-03,21.965
2016-08-04,-5.5556
2016-08-05,3.9215999999999998
2016-08-08,-6.0377
2016-08-09,-7.6305
2016-08-10,4.3478
2016-08-11,-8.2552
2016-08-12,-6.8975
2016-08-15,0.0
2016-08-16,1.25
2016-08-17,3.5833
2016-08-18,5.5814
2016-08-19,-0.8811
2016-08-22,8.8889
2016-08-23,-13.8776
2016-08-24,15.6398
2016-08-25,-9.0164
2016-08-26,1.3514
2016-08-29,-11.1111
2016-08-30,-23.5
2016-08-31,-13.7255
2016-09-01,-1.5152
2016-09-02,53.8462
2016-09-06,-25.0
2016-09-07,-6.6667
2016-09-08,-3.5714
2016-09-09,3.7037
2016-09-12,5.3571
2016-09-13,1.6949
2016-09-14,4.6667
2016-09-15,5.0955
2016-09-16,0.0
2016-09-19,9.0909
