ticker,STEV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-05,60.0
2010-11-18,12.5
2011-02-03,22.2222
2011-04-11,11434.0909
2011-05-23,10.3448
2011-05-27,0.0
2011-06-29,-46.875
2011-09-21,17.647100000000002
2011-09-26,0.0
2011-10-05,-10.0
2011-10-06,0.0
2011-10-07,7.7778
2011-10-10,2.0619
2011-10-11,-5.0505
2011-10-12,-3.1915
2011-10-13,6.5934
2011-10-14,3.0928
2011-10-17,-4.2
2011-10-18,-12.3173
2011-10-19,2.3810000000000002
2011-10-20,2.3256
2011-10-21,-1.7045
2011-10-24,-4.0462
2011-10-25,-1.8072
2011-10-26,3.0675
2011-10-27,2.9762
2011-10-28,2.8902
2011-10-31,0.8989
2011-11-01,2.6726
2011-11-02,5.2061
2011-11-03,7.2165
2011-11-04,-3.8462
2011-11-07,-3.0
2011-11-08,-10.3093
2011-11-09,-3.4483
2011-11-10,-3.5714
2011-11-11,-12.3457
2011-11-14,1.4085
2011-11-15,0.6944
2011-11-16,0.6897
2011-11-17,0.0
2011-11-18,1.3699
2011-11-21,4.0541
2011-11-22,9.0909
2011-11-23,-1.7856999999999998
2011-11-25,0.0
2011-11-28,10.303
2011-11-29,-7.2527
2011-11-30,-4.0284
2011-12-01,4.9383
2011-12-02,1.7647
2011-12-05,-7.052
2011-12-06,-1.7412999999999998
2011-12-07,5.0633
2011-12-08,-0.3614
2011-12-09,-5.0786
2011-12-12,1.2739
2011-12-13,-0.6289
2011-12-14,-9.8734
2011-12-15,0.4213
2011-12-16,-2.0979
2011-12-19,-2.8571
2011-12-20,2.9412000000000003
2011-12-21,-5.7143
2011-12-22,-10.6061
2011-12-23,-2.3729
2011-12-27,1.5625
2011-12-28,18.8034
2011-12-29,-0.7194
2011-12-30,0.2899
2012-01-03,3.3237
2012-01-04,-2.6573
2012-01-05,-2.2989
2012-01-06,-0.7353
2012-01-09,0.0
2012-01-10,12.592600000000001
2012-01-11,13.8158
2012-01-12,10.4046
2012-01-13,82.199
2012-01-17,35.0575
2012-01-18,-31.4894
2012-01-19,-31.677
2012-01-20,17.2727
2012-01-23,18.6047
2012-01-24,5.2288
2012-01-25,-11.8012
2012-01-26,5.6338
2012-01-27,0.0
2012-01-30,-4.0
2012-01-31,6.9444
2012-02-01,12.987
2012-02-02,-0.5747
2012-02-03,-0.578
2012-02-06,-2.907
2012-02-07,-3.5928
2012-02-08,-7.4534
2012-02-09,-7.3826
2012-02-10,-0.7246
2012-02-13,8.7591
