ticker,NOVS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-15,0.8991
2020-06-16,-3.9604
2020-06-17,0.0
2020-06-18,0.5155
2020-06-19,1.3333
2020-06-22,-1.5171999999999999
2020-06-23,0.5118
2020-06-24,-0.3057
2020-06-25,0.2051
2020-06-26,0.8188
2020-06-29,0.5076
2020-06-30,-0.9091
2020-07-01,0.3058
2020-07-02,-0.2033
2020-07-06,-0.001
2020-07-07,-0.2026
2020-07-08,0.0
2020-07-09,1.0194
2020-07-10,0.4051
2020-07-13,-0.1006
2020-07-14,0.7049
2020-07-15,-0.3
2020-07-16,1.003
2020-07-17,-0.5462
2020-07-20,-0.2496
2020-07-21,0.0
2020-07-22,0.0
2020-07-23,-0.1001
2020-07-24,0.2004
2020-07-27,-0.2
2020-07-28,-0.1002
2020-07-29,-0.2006
2020-07-30,0.1005
2020-07-31,-0.242
