ticker,TXRH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-10-05,28.3429
2004-10-06,0.1781
2004-10-07,-0.4489
2004-10-08,2.6832000000000003
2004-10-11,4.3478
2004-10-12,4.125
2004-10-13,-1.8808
2004-10-14,-2.2838
2004-10-15,3.0885
2004-10-18,0.1619
2004-10-19,-4.6079
2004-10-20,-2.5423999999999998
2004-10-21,2.6087
2004-10-22,1.6949
2004-10-25,-2.0833
2004-10-26,0.0
2004-10-27,-0.9787
2004-10-28,-1.1602999999999999
2004-10-29,0.087
2004-11-01,0.1303
2004-11-02,3.6443
2004-11-03,0.879
2004-11-04,1.4564
2004-11-05,-3.235
2004-11-08,-1.4793
2004-11-09,0.6006
2004-11-10,2.516
2004-11-11,7.1131
2004-11-12,-1.3592
2004-11-15,-1.6535
2004-11-16,-1.8014000000000001
2004-11-17,2.8536
2004-11-18,-0.9512
2004-11-19,-1.6006
2004-11-22,-0.5287
2004-11-23,0.2085
2004-11-24,3.6269
2004-11-26,-0.5512
2004-11-29,0.5938
2004-11-30,-0.0394
2004-12-01,2.6378
2004-12-02,2.8385
2004-12-03,5.3338
2004-12-06,1.983
2004-12-07,-1.25
2004-12-08,1.09
2004-12-09,-1.7043
2004-12-10,-0.92
2004-12-13,-0.8929
2004-12-14,-0.3604
2004-12-15,-0.1808
2004-12-16,0.3986
2004-12-17,-1.4074
2004-12-20,-1.1713
2004-12-21,-2.0741
2004-12-22,4.0091
2004-12-23,0.3273
2004-12-27,0.5799
2004-12-28,5.2252
2004-12-29,-0.6849
2004-12-30,-0.8621
2004-12-31,2.7826
2005-01-03,-0.2707
2005-01-04,0.3733
2005-01-05,-3.4821
2005-01-06,4.6935
2005-01-07,0.8699
2005-01-10,0.7761
2005-01-11,0.6451
2005-01-12,-1.6351
2005-01-13,-0.3989
2005-01-14,0.968
2005-01-18,4.1322
2005-01-19,-5.873
2005-01-20,-2.4621
2005-01-21,2.87
2005-01-24,0.9412
2005-01-25,-0.0999
2005-01-26,0.8
2005-01-27,0.3968
2005-01-28,3.7549
2005-01-31,2.0317
2005-02-01,-0.8401
2005-02-02,1.1923
2005-02-03,-0.6512
2005-02-04,0.2154
2005-02-07,-1.2738
2005-02-08,0.0315
2005-02-09,-1.4822
2005-02-10,-2.2407
2005-02-11,-2.4231
2005-02-14,-0.5034
2005-02-15,-0.5059
2005-02-16,-1.5085
2005-02-17,-5.3519
2005-02-18,-1.6364
2005-02-22,-1.9593
2005-02-23,-1.6591
2005-02-24,2.569
