ticker,GRBK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-14,0.0952
2007-06-15,-0.9515
2007-06-18,-0.1921
2007-06-19,0.0962
2007-06-20,-1.9231
2007-06-21,0.0
2007-06-22,0.9804
2007-06-25,0.3883
2007-06-26,0.5803
2007-06-27,0.1923
2007-06-28,0.096
2007-06-29,2.1093
2007-07-02,1.0329
2007-07-03,5.2974
2007-07-05,-1.4122
2007-07-06,-2.0591
2007-07-09,0.5484
2007-07-10,-1.0
2007-07-11,-0.7346
2007-07-12,-2.0352
2007-07-13,-1.4163999999999999
2007-07-16,-1.8199
2007-07-17,-4.3902
2007-07-18,-7.0408
2007-07-19,-2.1954
2007-07-20,3.2548
2007-07-23,2.1739
2007-07-24,-3.2979
2007-07-25,0.33
2007-07-26,-2.4123
2007-07-27,-1.573
2007-07-30,2.5114
2007-07-31,-0.4454
2007-08-01,-6.0403
2007-08-02,-5.2381
2007-08-03,-7.4121
2007-08-06,-0.9498
2007-08-07,4.6575
2007-08-08,9.6859
2007-08-09,-1.5513
2007-08-10,-3.5152
2007-08-13,-1.3819
2007-08-14,-5.9873
2007-08-15,-0.9485
2007-08-16,-4.5144
2007-08-17,-1.1461000000000001
2007-08-20,1.0127
2007-08-21,-1.146
2007-08-22,-3.7736
2007-08-23,-4.9774
2007-08-24,-3.0159
2007-08-27,2.2913
2007-08-28,-5.6
2007-08-29,3.7288
2007-08-30,0.3268
2007-08-31,1.7915
2007-09-04,0.96
2007-09-05,13.1537
2007-09-06,0.5602
2007-09-07,0.9749
2007-09-10,-3.0345
2007-09-11,0.9957
2007-09-12,0.7042
2007-09-13,1.3986
2007-09-14,-2.7586
2007-09-17,-1.1348
2007-09-18,-3.4433
2007-09-19,0.4458
2007-09-20,-7.9882
2007-09-21,-1.1254
2007-09-24,-4.7154
2007-09-25,-3.413
2007-09-26,-3.3569
2007-09-27,4.5704
2007-09-28,1.2238
2007-10-01,-4.4905
2007-10-02,-6.5099
2007-10-03,-10.8317
2007-10-04,-6.9414
2007-10-05,9.5571
2007-10-08,-1.0638
2007-10-09,-0.6452
2007-10-10,0.2165
2007-10-11,0.0
2007-10-12,-3.6717
2007-10-15,17.4888
2007-10-16,0.9542
2007-10-17,-4.9149
2007-10-18,6.5606
2007-10-19,0.3731
2007-10-22,-1.1152
2007-10-23,-0.5639
2007-10-24,-2.4575
2007-10-25,-2.1318
2007-10-26,1.9802
2007-10-29,2.7184
2007-10-30,2.8355
2007-10-31,0.9191
