ticker,LTSY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-07-15,15.625
2013-07-26,35.1351
2013-09-13,-40.0
2013-10-01,-33.3333
2014-05-28,250.0
2014-07-10,0.0
2014-08-25,-42.8571
2014-08-29,-50.0
2014-09-02,-30.0
2014-10-27,14.2857
2014-11-05,62.5
2014-11-17,-38.4615
2015-04-13,150.0
2016-03-24,-75.0
2016-05-12,-40.0
2017-02-09,179.5833
2017-02-14,19.225
2017-02-28,0.0
2017-03-02,-60.0
2017-03-23,-25.0
2017-11-07,0.0
2018-01-25,0.0
2018-03-14,80.0
2018-03-19,-44.4444
2018-10-01,0.0
2019-06-24,0.0
2019-07-17,120.0
2019-07-26,-22.7273
2019-09-06,115.6863
2019-09-16,-36.3636
2019-10-08,114.2857
2019-10-15,0.0
2019-10-16,-53.3333
2019-12-13,-28.5714
2019-12-24,0.0
2019-12-26,0.0
2019-12-27,200.0
2019-12-30,0.6667
2019-12-31,-13.9073
2020-01-02,14.6154
2020-01-03,-7.3826
2020-01-06,-27.5362
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,-10.0
2020-01-13,-5.5556
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,51.6471
2020-01-17,47.4011
2020-01-21,-47.3158
2020-01-22,149.7502
2020-01-23,-28.0
2020-01-24,-44.4444
2020-01-27,0.0
2020-01-30,0.0
2020-01-31,20.0
2020-02-05,-33.25
2020-02-06,0.0
2020-02-07,99.7503
2020-02-10,-50.0
2020-02-11,0.0
2020-02-12,50.0
2020-02-14,-33.3333
2020-02-18,0.0
2020-02-19,-6.25
2020-02-26,-6.6667
2020-02-28,0.0
2020-03-11,0.0
2020-03-13,10.7143
2020-04-09,0.0
2020-04-30,19.3548
2020-05-06,-24.2162
2020-05-07,42.6534
2020-05-12,-2.0
2020-05-13,-19.6429
2020-05-19,-11.1111
2020-05-26,0.0
2020-05-29,8.892900000000001
2020-06-03,-8.1666
