ticker,CAI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-16,0.0
2007-05-17,-7.3333
2007-05-18,1.295
2007-05-21,5.1136
2007-05-22,-1.9595
2007-05-23,1.7229
2007-05-24,-0.0678
2007-05-25,1.0169
2007-05-29,1.0067
2007-05-30,-1.3289
2007-05-31,-0.6734
2007-06-01,-0.6102
2007-06-04,-0.0682
2007-06-05,-2.3891
2007-06-06,0.0
2007-06-07,-0.0699
2007-06-08,-0.2099
2007-06-11,-0.0701
2007-06-12,1.6842000000000001
2007-06-13,-2.9676
2007-06-14,1.7069999999999999
2007-06-15,2.7972
2007-06-18,-0.2041
2007-06-19,0.5453
2007-06-20,0.2712
2007-06-21,-0.0676
2007-06-22,-0.5413
2007-06-25,-3.2653
2007-06-26,-0.9142
2007-06-27,-3.9744
2007-06-28,-3.7694
2007-06-29,0.384
2007-07-02,7.6511
2007-07-03,-0.3554
2007-07-05,-0.5706
2007-07-06,0.4304
2007-07-09,0.0
2007-07-10,-0.0714
2007-07-11,0.7148
2007-07-12,-0.2839
2007-07-13,3.4164
2007-07-16,-1.5829
2007-07-17,2.4476
2007-07-18,0.7509
2007-07-19,0.4065
2007-07-20,-0.7422
2007-07-23,-0.7478
2007-07-24,-0.3425
2007-07-25,0.2062
2007-07-26,-3.5665
2007-07-27,-2.1337
2007-07-30,0.218
2007-07-31,1.4503
2007-08-01,0.0715
2007-08-02,-0.3571
2007-08-03,-0.2151
2007-08-06,-2.2989
2007-08-07,0.4412
2007-08-08,1.4641
2007-08-09,0.5772
2007-08-10,-6.5280000000000005
2007-08-13,2.2256
2007-08-14,-1.7267000000000001
2007-08-15,-0.6875
2007-08-16,-3.2308
2007-08-17,3.1797
2007-08-20,-0.9245
2007-08-21,0.6221
2007-08-22,-2.2411
2007-08-23,-4.5059000000000005
2007-08-24,1.7384
2007-08-27,-0.4068
2007-08-28,3.3497
2007-08-29,-1.3439
2007-08-30,1.3622
2007-08-31,-1.581
2007-09-04,2.008
2007-09-05,2.6772
2007-09-06,0.4601
2007-09-07,-0.3053
2007-09-10,-1.3783
2007-09-11,-1.2422
2007-09-12,3.5377
2007-09-13,0.3037
2007-09-14,0.6813
2007-09-17,-3.3835
2007-09-18,0.6226
2007-09-19,1.9335
2007-09-20,-1.7450999999999999
2007-09-21,0.695
2007-09-24,0.1534
2007-09-25,-3.0628
2007-09-26,5.0553
2007-09-27,1.5789
2007-09-28,4.3671
2007-10-01,2.1986
2007-10-02,-2.7065
