ticker,LEE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.3053
2000-01-04,-2.2495
2000-01-05,-1.6736
2000-01-06,0.2128
2000-01-07,1.0616
2000-01-10,1.4706000000000001
2000-01-11,-1.0352
2000-01-12,-1.046
2000-01-13,-2.1142
2000-01-14,-3.8877
2000-01-18,0.0
2000-01-19,2.4718999999999998
2000-01-20,-1.7544
2000-01-21,-1.7856999999999998
2000-01-24,-2.7273
2000-01-25,-4.9065
2000-01-26,1.9656
2000-01-27,-2.6506
2000-01-28,-0.7426
2000-01-31,5.985
2000-02-01,-2.5882
2000-02-02,-1.6907999999999999
2000-02-03,0.2457
2000-02-04,-0.7353
2000-02-07,-0.4938
2000-02-08,-0.2481
2000-02-09,-5.9701
2000-02-10,3.1746
2000-02-11,-1.5385
2000-02-14,0.0
2000-02-15,-4.1667
2000-02-16,-3.8043
2000-02-17,1.1299
2000-02-18,-1.3966
2000-02-22,-2.5496
2000-02-23,-1.1628
2000-02-24,-6.4706
2000-02-25,1.8868
2000-02-28,1.716
2000-02-29,1.8349
2000-03-01,-0.6006
2000-03-02,11.1782
2000-03-03,2.1739
2000-03-06,-3.7234
2000-03-07,-4.6961
2000-03-08,-0.5797
2000-03-09,2.3324
2000-03-10,-2.5641
2000-03-13,-1.462
2000-03-14,5.638
2000-03-15,3.3708
2000-03-16,5.4348
2000-03-17,1.0309
2000-03-20,2.2959
2000-03-21,-2.9925
2000-03-22,-1.5424
2000-03-23,0.0
2000-03-24,-0.2611
2000-03-27,-0.7853
2000-03-28,0.2639
2000-03-29,-3.1579
2000-03-30,7.337
2000-03-31,5.8228
2000-04-03,-2.8708
2000-04-04,-1.4778
2000-04-05,-3.75
2000-04-06,0.5195
2000-04-07,-0.5168
2000-04-10,-2.0779
2000-04-11,0.5305
2000-04-12,-0.2639
2000-04-13,-1.3228
2000-04-14,-4.2895
2000-04-17,-1.6806999999999999
2000-04-18,2.2792
2000-04-19,-1.1142
2000-04-20,0.8451
2000-04-24,-1.6760000000000002
2000-04-25,-1.1364
2000-04-26,0.0
2000-04-27,2.2989
2000-04-28,1.9663
2000-05-01,-1.1019
2000-05-02,-6.4067
2000-05-03,1.4881
2000-05-04,0.5865
2000-05-05,-0.8746
2000-05-08,1.4706000000000001
2000-05-09,-0.2899
2000-05-10,-1.7442
2000-05-11,1.4793
2000-05-12,1.1662
2000-05-15,2.0173
2000-05-16,0.2825
2000-05-17,-2.5352
2000-05-18,-2.0231
2000-05-19,0.295
