ticker,KHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-07,2.2889
2015-07-08,1.0318
2015-07-09,-0.7958
2015-07-10,3.3556
2015-07-13,1.9661
2015-07-14,-1.0529
2015-07-15,-1.6538
2015-07-16,2.6593999999999998
2015-07-17,1.1175
2015-07-20,0.6028
2015-07-21,0.1373
2015-07-22,-1.9696
2015-07-23,-1.7167
2015-07-24,-0.43
2015-07-27,1.2695
2015-07-28,1.2147999999999999
2015-07-29,-0.5235
2015-07-30,1.6686
2015-07-31,0.3282
2015-08-03,1.1325
2015-08-04,-0.6968
2015-08-05,0.8395
2015-08-06,-0.8946
2015-08-07,-1.6299000000000001
2015-08-10,0.4461
2015-08-11,-1.0659
2015-08-12,-1.6417000000000002
2015-08-13,-0.9128
2015-08-14,0.5659
2015-08-17,-0.8113
2015-08-18,-0.8047
2015-08-19,-0.5453
2015-08-20,-0.7087
2015-08-21,-2.6667
2015-08-24,-1.9372
2015-08-25,-0.9313
2015-08-26,5.2699
2015-08-27,1.7183000000000002
2015-08-28,-0.6518
2015-08-31,-2.7179
2015-09-01,-3.4957
2015-09-02,2.7809
2015-09-03,0.1249
2015-09-04,-2.2034
2015-09-08,4.9596
2015-09-09,-2.5651
2015-09-10,-0.0139
2015-09-11,2.2173
2015-09-14,1.071
2015-09-15,1.1268
2015-09-16,1.2999
2015-09-17,0.0786
2015-09-18,-1.2953000000000001
2015-09-21,-0.3181
2015-09-22,-1.1835
2015-09-23,-1.3457
2015-09-24,-0.532
2015-09-25,0.5897
2015-09-28,-4.5808
2015-09-29,-1.1287
2015-09-30,1.9942
2015-10-01,0.3542
2015-10-02,0.8189
2015-10-05,1.1623
2015-10-06,0.3184
2015-10-07,0.9383
2015-10-08,1.7498
2015-10-09,-0.0537
2015-10-12,-0.9007
2015-10-13,-0.4612
2015-10-14,0.5315
2015-10-15,1.9656
2015-10-16,2.8849
2015-10-19,-0.7624
2015-10-20,0.0911
2015-10-21,0.2342
2015-10-22,3.7508
2015-10-23,-2.4518
2015-10-26,-1.5004
2015-10-27,0.4687
2015-10-28,2.6046
2015-10-29,-0.6694
2015-10-30,-0.8646
2015-11-02,0.3848
2015-11-03,-2.3508
2015-11-04,-0.7981
2015-11-05,-0.5276
2015-11-06,-4.5213
2015-11-09,-1.0693
2015-11-10,1.1791
2015-11-11,0.0416
2015-11-12,-0.8806
2015-11-13,-0.1834
2015-11-16,1.2505
2015-11-17,-0.2861
2015-11-18,1.5885
2015-11-19,1.0402
