ticker,RPTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-19,54.0
2020-06-22,7.1104
2020-06-23,-0.1212
2020-06-24,-0.1517
2020-06-25,-0.9119
2020-06-26,-0.9202
2020-06-29,-3.2508
2020-06-30,-0.736
2020-07-01,-4.2876
2020-07-02,-1.8525
2020-07-06,2.059
2020-07-07,-7.5319
2020-07-08,2.1091
2020-07-09,-6.4815
2020-07-10,-4.227
2020-07-13,-4.5328
2020-07-14,-3.3319
2020-07-15,-2.9729
2020-07-16,1.1989
2020-07-17,0.4827
2020-07-20,0.8297
2020-07-21,-0.3465
2020-07-22,-2.2164
2020-07-23,-0.6222
2020-07-24,-3.6225
2020-07-27,0.9281
2020-07-28,4.5517
2020-07-29,8.0475
2020-07-30,-2.7676
2020-07-31,-0.1256
