ticker,GLPT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-12-08,-50.0
2005-12-29,-10.0
2006-01-04,0.0
2006-01-09,-22.2222
2006-01-11,42.8571
2006-01-20,-60.0
2006-01-23,25.0
2006-02-01,20.0
2006-02-02,-3.3333
2006-02-06,-31.0345
2006-02-08,75.0
2006-02-09,-8.5714
2006-02-13,-25.0
2006-02-14,62.5
2006-02-15,-10.2564
2006-02-16,-14.2857
2006-02-17,33.3333
2006-02-22,-2.5
2006-02-23,-29.4872
2006-02-28,-20.0
2006-05-12,-45.4545
2006-05-15,-25.0
2006-05-16,-44.4444
2006-05-17,100.0
2006-05-22,-40.0
2006-05-26,133.3333
2006-06-12,-85.7143
2006-06-16,100.0
2006-06-19,0.0
2006-06-21,-75.0
2006-06-23,100.0
2006-06-26,0.0
2006-07-05,-25.0
2006-07-06,-53.3333
2006-07-07,328.5714
2006-07-11,0.0
2006-07-13,-33.3333
2006-07-14,0.0
2006-07-17,0.0
2006-07-28,0.0
2006-07-31,25.0
2006-08-07,-40.0
2006-08-14,-26.6667
2006-08-23,-54.5455
2006-08-25,100.0
2006-08-29,220.0
2006-09-05,-68.75
2006-09-21,-20.0
2006-11-07,-22.5
2006-11-14,-35.4839
2006-12-05,-25.0
2006-12-21,0.0
2007-01-29,-16.6667
2007-01-31,-20.0
2007-02-09,0.0
2007-03-08,0.0
2007-06-20,100.0
2007-07-16,-50.0
2007-07-17,0.0
2007-10-08,1150.0
2007-10-09,180.0
2007-10-10,-21.4286
2007-10-11,0.0
2007-10-12,-58.1818
2007-10-15,8.6957
2007-10-16,20.0
2007-10-17,16.6667
2007-10-18,0.0
2007-10-19,0.0
2007-10-22,28.5714
2007-10-23,-33.3333
2007-10-24,33.3333
2007-10-25,12.5
2007-10-26,0.0
2007-10-29,0.0
2007-10-30,0.0
2007-10-31,22.2222
2007-11-01,0.0
2007-11-02,-9.0909
2007-11-06,-30.0
2007-11-07,42.8571
2007-11-12,0.0
2007-11-13,-20.0
2007-11-14,25.0
2007-11-15,0.0
2007-11-19,0.0
2007-11-20,0.0
2007-11-21,0.0
2007-11-27,-30.0
2007-11-28,14.2857
2007-11-29,12.5
2007-11-30,0.0
2007-12-11,-22.2222
2007-12-12,28.5714
2007-12-13,0.0
2007-12-17,11.1111
2007-12-18,0.0
2007-12-20,0.0
2007-12-24,8.0
2007-12-27,-7.4074
2008-01-03,0.0
2008-01-07,4.0
2008-01-08,0.0
2008-01-09,0.0
2008-01-11,5.7692
