ticker,DLTH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-11-20,13.75
2015-11-23,3.7363
2015-11-24,0.9887
2015-11-25,0.2098
2015-11-27,-0.8374
2015-11-30,0.9852
2015-12-01,7.8049
2015-12-02,-2.7796
2015-12-03,1.8617
2015-12-04,4.3081
2015-12-07,0.1252
2015-12-08,-0.375
2015-12-09,0.1255
2015-12-10,1.5038
2015-12-11,1.4815
2015-12-14,-2.9805
2015-12-15,1.2539
2015-12-16,1.3003
2015-12-17,-4.0342
2015-12-18,-6.879
2015-12-21,0.4788
2015-12-22,-5.1055
2015-12-23,4.3042
2015-12-24,-0.4814
2015-12-28,1.8659
2015-12-29,1.0176
2015-12-30,-2.1491
2015-12-31,0.1373
2016-01-04,0.9596
2016-01-05,-0.3394
2016-01-06,1.9074
2016-01-07,-0.3342
2016-01-08,-6.1704
2016-01-11,6.862
2016-01-12,0.602
2016-01-13,-4.5213
2016-01-14,1.6713
2016-01-15,-3.0137
2016-01-19,-0.565
2016-01-20,3.054
2016-01-21,1.654
2016-01-22,5.4915
2016-01-25,0.4499
2016-01-26,6.7179
2016-01-27,3.5372
2016-01-28,-4.4586
2016-01-29,0.0606
2016-02-01,-0.3028
2016-02-02,-0.6683
2016-02-03,-5.5046
2016-02-04,-4.4013
2016-02-05,-4.6039
2016-02-08,2.0582
2016-02-09,-2.4339
2016-02-10,2.2808
2016-02-11,0.2787
2016-02-12,4.1696
2016-02-16,2.2015000000000002
2016-02-17,6.4621
2016-02-18,-0.7971
2016-02-19,3.7083
2016-02-22,0.7151
2016-02-23,-3.9645
2016-02-24,2.0333
2016-02-25,4.4082
2016-02-26,0.1157
2016-02-29,-4.3905
2016-03-01,2.719
2016-03-02,-2.2353
2016-03-03,0.4212
2016-03-04,0.8987
2016-03-07,2.4347
2016-03-08,0.5797
2016-03-09,1.8444
2016-03-10,0.2264
2016-03-11,3.7267
2016-03-14,1.9597
2016-03-15,-0.5339
2016-03-16,3.489
2016-03-17,1.971
2016-03-18,0.5595
2016-03-21,2.4785
2016-03-22,-1.3820000000000001
2016-03-23,-4.004
2016-03-24,1.147
2016-03-28,-1.6495
2016-03-29,2.2013
2016-03-30,-0.4615
2016-03-31,0.4122
2016-04-01,2.0523
2016-04-04,-2.2122
2016-04-05,-11.2082
2016-04-06,0.6948
2016-04-07,2.4727
2016-04-08,21.9416
2016-04-11,4.2798
2016-04-12,-4.6777999999999995
2016-04-13,3.287
2016-04-14,0.3138
2016-04-15,10.3217
