ticker,IWMG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-21,6.1947
2013-06-24,5.0
2013-06-25,0.7937
2013-06-26,-1.5748
2013-06-27,-0.8
2013-06-28,-18.5484
2013-07-01,8.9109
2013-07-02,0.0
2013-07-03,0.0
2013-07-08,-2.7273
2013-07-09,7.4766
2013-07-10,1.7391
2013-07-11,-2.5641
2013-07-12,8.7719
2013-07-15,-4.8387
2013-07-16,0.8475
2013-07-17,-3.3613
2013-07-18,7.8261
2013-07-19,-23.3871
2013-07-22,5.2632
2013-07-23,-6.0
2013-07-24,1.0638
2013-07-25,0.0
2013-07-26,0.0
2013-07-29,4.2105
2013-07-30,-3.0303
2013-07-31,8.3333
2013-08-01,0.0
2013-08-02,-3.8462
2013-08-05,-20.0
2013-08-07,18.75
2013-08-12,-57.8947
2013-08-13,0.0
2013-08-14,0.0
2013-08-16,-50.0313
2013-08-19,15.0719
2013-08-20,-2.1739
2013-08-21,-15.5556
2013-08-22,5.2632
2013-08-23,-4.75
2013-08-26,-8.1365
2013-08-27,8.5714
2013-08-28,2.6316
2013-08-29,-2.5641
2013-08-30,-10.526299999999999
2013-09-03,-14.7059
2013-09-04,-3.4483
2013-09-05,-42.8571
2013-09-06,-12.5
2013-09-09,-35.7143
2013-09-10,0.0
2013-09-11,0.0
2013-09-12,11.1111
2013-09-13,-6.0
2013-09-16,6.383
2013-09-17,80.0
2013-09-18,-22.2222
2013-09-19,38.5714
2013-09-20,-22.6804
2013-09-23,-5.3333
2013-09-24,1.4085
2013-09-25,0.0
2013-09-26,-9.7222
2013-09-30,-18.2692
2013-10-01,-0.2353
2013-10-02,0.0
2013-10-03,0.0
2013-10-04,13.2075
2013-10-07,0.0
2013-10-08,-16.6667
2013-10-09,0.0
2013-10-10,40.0
2013-10-11,0.0
2013-10-14,14.2857
2013-10-15,-1.25
2013-10-16,-14.0823
2013-10-17,-26.3352
2013-10-18,20.0
2013-10-21,-33.3333
2013-10-22,0.0
2013-10-23,25.0
2013-10-24,10.0
2013-10-25,-1.8182
2013-10-28,-14.8148
2013-10-29,-2.1739
2013-10-30,0.0
2013-10-31,0.0
2013-11-01,-11.1111
2013-11-04,2.5
2013-11-05,-2.439
2013-11-06,0.0
2013-11-08,0.0
2013-11-11,0.3125
2013-11-12,8.411200000000001
2013-11-13,-3.4483
2013-11-14,-4.7619
2013-11-15,5.0
2013-11-18,14.2857
2013-11-19,4.1667
2013-11-20,-8.0
2013-11-21,30.4348
2013-11-22,-1.6667
